Generación;Mejor Fitness
1;0.0459304303
2;0.0459547341
3;0.0459841527
4;0.0460198745
5;0.0460373797
6;0.0460500009
7;0.0461082421
8;0.0462859124
9;0.0463260263
10;0.0463606045
11;0.0463996455
12;0.0464186445
13;0.0464953296
14;0.0466904305
15;0.0467134155
16;0.0467446595
17;0.0467675216
18;0.0467938334
19;0.0468419194
20;0.0468813367
21;0.0469129421
22;0.0469478481
23;0.0469652601
24;0.0469715893
25;0.0469780155
26;0.0470473357
27;0.0470573790
28;0.0470648557
29;0.0471078604
30;0.0471510850
31;0.0471638292
32;0.0471726358
33;0.0472114868
34;0.0472649597
35;0.0472980663
36;0.0473269932
37;0.0473526530
38;0.0474012829
39;0.0474136062
40;0.0474256165
41;0.0474301279
42;0.0474393293
43;0.0474766195
44;0.0474905707
45;0.0474942662
46;0.0474995747
47;0.0475267135
48;0.0476491749
49;0.0476539843
50;0.0476665534
51;0.0476723351
52;0.0476780310
53;0.0476878583
54;0.0477211028
55;0.0477397032
56;0.0477420837
57;0.0477922894
58;0.0477997214
59;0.0478120521
60;0.0478171073
61;0.0478305817
62;0.0478506908
63;0.0478627495
64;0.0478651263
65;0.0478672795
66;0.0478798412
67;0.0478832051
68;0.0478925109
69;0.0479119681
70;0.0479301289
71;0.0479454063
72;0.0479520485
73;0.0479782894
74;0.0479893275
75;0.0480716974
76;0.0481122807
77;0.0482586063
78;0.0482627861
79;0.0482698046
80;0.0483144149
81;0.0483324639
82;0.0483357273
83;0.0483466163
84;0.0483786650
85;0.0483812727
86;0.0483867452
87;0.0483898520
88;0.0484016612
89;0.0484230034
90;0.0484568812
91;0.0484701283
92;0.0484839976
93;0.0484868065
94;0.0484986864
95;0.0485354476
96;0.0485600084
97;0.0485669114
98;0.0485682338
99;0.0485716760
100;0.0487882905
101;0.0487936214
102;0.0488013923
103;0.0488138646
104;0.0488487184
105;0.0488552749
106;0.0488663837
107;0.0488668904
108;0.0488741882
109;0.0488809012
110;0.0488928221
111;0.0488960929
112;0.0488987900
113;0.0489178337
114;0.0489213616
115;0.0489305891
116;0.0489337891
117;0.0489379354
118;0.0489410907
119;0.0490005761
120;0.0490169674
121;0.0491787679
122;0.0491874889
123;0.0491883866
124;0.0492000021
125;0.0492051914
126;0.0492412932
127;0.0492692143
128;0.0492790267
129;0.0493358225
130;0.0493504256
131;0.0493616723
132;0.0493616723
133;0.0494008847
134;0.0494952425
135;0.0494959317
136;0.0494961217
137;0.0495125651
138;0.0495538786
139;0.0495540164
140;0.0495937690
141;0.0496166162
142;0.0496183895
143;0.0496297814
144;0.0496307015
145;0.0496562906
146;0.0496667810
147;0.0496669635
148;0.0497002192
149;0.0497010201
150;0.0497043096
151;0.0497133471
152;0.0497439280
153;0.0498157553
154;0.0498185903
155;0.0498210005
156;0.0498214774
157;0.0498268940
158;0.0498318039
159;0.0498430468
160;0.0498523451
161;0.0498565733
162;0.0498581491
163;0.0498740003
164;0.0498808138
165;0.0498842448
166;0.0498934165
167;0.0499079153
168;0.0499098934
169;0.0499107763
170;0.0499172471
171;0.0499188639
172;0.0499216132
173;0.0499304123
174;0.0499331355
175;0.0499456748
176;0.0499485135
177;0.0499495305
178;0.0499496534
179;0.0499633104
180;0.0499759503
181;0.0500082038
182;0.0500115119
183;0.0500614010
184;0.0500632860
185;0.0500998236
186;0.0501090512
187;0.0501266830
188;0.0501504131
189;0.0501537137
190;0.0501561873
191;0.0501598045
192;0.0501624979
193;0.0501634888
194;0.0501800738
195;0.0501879193
196;0.0501911975
197;0.0502014682
198;0.0502033494
199;0.0502048507
200;0.0502904020
201;0.0502916910
202;0.0502927303
203;0.0503085330
204;0.0503117628
205;0.0503152534
206;0.0503250659
207;0.0503250659
208;0.0503265075
209;0.0503265075
210;0.0503280088
211;0.0504579097
212;0.0504682548
213;0.0504682846
214;0.0504696481
215;0.0504704230
216;0.0504706502
217;0.0504759625
218;0.0504792221
219;0.0504823290
220;0.0505390726
221;0.0505424105
222;0.0505614877
223;0.0505621284
224;0.0505627915
225;0.0505627915
226;0.0505632833
227;0.0505655706
228;0.0505718514
229;0.0505725220
230;0.0506524295
231;0.0506524406
232;0.0506524406
233;0.0506532080
234;0.0507072099
235;0.0507114120
236;0.0507172905
237;0.0507199727
238;0.0507323705
239;0.0507324301
240;0.0507329255
241;0.0507332198
242;0.0507353097
243;0.0507433936
244;0.0507466160
245;0.0507478304
246;0.0507478341
247;0.0507624261
248;0.0507624820
249;0.0507705025
250;0.0507709496
251;0.0507713147
252;0.0507714078
253;0.0508155040
254;0.0508171581
255;0.0508197956
256;0.0508203395
257;0.0508232415
258;0.0508233160
259;0.0508233160
260;0.0508233160
261;0.0508235693
262;0.0508267172
263;0.0508273020
