Generación;Mejor Fitness
1;0.0460163169
2;0.0460628048
3;0.0461198948
4;0.0461926498
5;0.0462441407
6;0.0462791994
7;0.0463101715
8;0.0463344157
9;0.0463620685
10;0.0463814698
11;0.0464126840
12;0.0464187860
13;0.0464317948
14;0.0464675948
15;0.0464785136
16;0.0464842804
17;0.0464907512
18;0.0465013608
19;0.0465175360
20;0.0465264283
21;0.0465505570
22;0.0465579219
23;0.0465788990
24;0.0465843640
25;0.0466188416
26;0.0466541946
27;0.0466682389
28;0.0466791764
29;0.0466964170
30;0.0467245020
31;0.0467647798
32;0.0467773564
33;0.0467996672
34;0.0468087569
35;0.0468450896
36;0.0468554273
37;0.0468679480
38;0.0468713567
39;0.0468794554
40;0.0469075553
41;0.0469132476
42;0.0469246879
43;0.0470454171
44;0.0470859781
45;0.0470984653
46;0.0471358821
47;0.0471453778
48;0.0471673347
49;0.0471846238
50;0.0472291782
51;0.0472417809
52;0.0474273711
53;0.0475035980
54;0.0475269109
55;0.0475404225
56;0.0476263724
57;0.0476352833
58;0.0476557389
59;0.0476757772
60;0.0476946272
61;0.0477127656
62;0.0477235653
63;0.0477255024
64;0.0477358773
65;0.0477450415
66;0.0477556400
67;0.0477597117
68;0.0477803312
69;0.0477857590
70;0.0477921404
71;0.0478043817
72;0.0478116311
73;0.0478268825
74;0.0478276648
75;0.0478962734
76;0.0479019694
77;0.0479120053
78;0.0480165668
79;0.0480358377
80;0.0480613336
81;0.0480685979
82;0.0480696522
83;0.0481221974
84;0.0481257364
85;0.0481262803
86;0.0481376015
87;0.0481405519
88;0.0481455475
89;0.0481538288
90;0.0481572226
91;0.0481680632
92;0.0481905416
93;0.0481931642
94;0.0482162200
95;0.0482195392
96;0.0482207797
97;0.0482350774
98;0.0482352078
99;0.0482387990
100;0.0482437834
101;0.0482470617
102;0.0482592173
103;0.0482611805
104;0.0483093634
105;0.0483103581
106;0.0483131781
107;0.0483195633
108;0.0483250208
109;0.0483251326
110;0.0483279824
111;0.0484085269
112;0.0484106019
113;0.0484106131
114;0.0484218895
115;0.0484431870
116;0.0484441258
117;0.0484511890
118;0.0484528281
119;0.0484597869
120;0.0484801903
121;0.0484828055
122;0.0484878048
123;0.0484897085
124;0.0484925881
125;0.0484985821
126;0.0485034101
127;0.0485048816
128;0.0485055596
129;0.0485099778
130;0.0485129207
131;0.0485144332
132;0.0485224649
133;0.0485840812
134;0.0485865250
135;0.0485950746
136;0.0485968627
137;0.0485987142
138;0.0485990681
139;0.0486078560
140;0.0486164168
141;0.0486224592
142;0.0486236438
143;0.0486247241
144;0.0486326851
145;0.0486655980
146;0.0486767441
147;0.0486886688
148;0.0487121493
149;0.0487142354
150;0.0487187132
151;0.0487207025
152;0.0487286933
153;0.0487455055
154;0.0487868935
155;0.0488144681
156;0.0488149822
157;0.0488183498
158;0.0488487184
159;0.0488504581
160;0.0488516390
161;0.0488547944
162;0.0488598384
163;0.0488745905
164;0.0488786064
165;0.0488996804
166;0.0489034951
167;0.0489114225
168;0.0489132106
169;0.0489216596
170;0.0489224307
171;0.0489224941
172;0.0489226654
