Generación;Mejor Fitness
1;0.0460176654
2;0.0460595824
3;0.0460766964
4;0.0461479202
5;0.0461634248
6;0.0461790450
7;0.0462640896
8;0.0462862290
9;0.0463023819
10;0.0464091152
11;0.0464363210
12;0.0464547686
13;0.0464947484
14;0.0465211086
15;0.0465402380
16;0.0465677008
17;0.0465955883
18;0.0466026925
19;0.0466110259
20;0.0466265865
21;0.0466645882
22;0.0467222966
23;0.0467605926
24;0.0467701554
25;0.0467958860
26;0.0468162112
27;0.0468290225
28;0.0468548946
29;0.0468644276
30;0.0468747541
31;0.0469045080
32;0.0469719507
33;0.0469960049
34;0.0470136181
35;0.0470177345
36;0.0470245108
37;0.0470329933
38;0.0470425300
39;0.0470868163
40;0.0470919721
41;0.0471331738
42;0.0471559577
43;0.0471696109
44;0.0471718051
45;0.0471822768
46;0.0472001098
47;0.0472461656
48;0.0472579487
49;0.0472754575
50;0.0472931564
51;0.0473289117
52;0.0473627895
53;0.0475350581
54;0.0475464836
55;0.0475640744
56;0.0475681908
57;0.0475809164
58;0.0475867018
59;0.0476114936
60;0.0476152301
61;0.0476199947
62;0.0476217717
63;0.0476261750
64;0.0476469621
65;0.0476546697
66;0.0476564392
67;0.0476569831
68;0.0476645231
69;0.0476724729
70;0.0477599725
71;0.0477708317
72;0.0477780476
73;0.0477791876
74;0.0477808155
75;0.0478041582
76;0.0478085801
77;0.0478180014
78;0.0478273891
79;0.0478308015
80;0.0478342921
81;0.0478368551
82;0.0478414111
83;0.0478585288
84;0.0478673279
85;0.0478679612
86;0.0478778332
87;0.0478998236
88;0.0479092747
89;0.0479195975
90;0.0479267649
91;0.0479344875
92;0.0479375459
93;0.0479437150
94;0.0479628108
95;0.0481398031
96;0.0481419861
97;0.0481602252
98;0.0481852032
99;0.0481874943
100;0.0482085794
101;0.0482104346
102;0.0482197702
103;0.0482213460
104;0.0482873395
105;0.0482890159
106;0.0482890159
107;0.0483006276
108;0.0483110026
109;0.0483115613
110;0.0484190099
111;0.0484388620
112;0.0484874845
113;0.0484968498
114;0.0486438274
115;0.0486475080
116;0.0486622192
117;0.0486661494
118;0.0486671999
119;0.0486681946
120;0.0486681946
121;0.0486711450
122;0.0486775562
123;0.0486789793
124;0.0486834012
125;0.0486868098
126;0.0486886762
127;0.0486903861
128;0.0486904941
129;0.0487000123
130;0.0487279296
131;0.0487346277
132;0.0487357229
133;0.0487376638
134;0.0487415232
135;0.0487445593
136;0.0487446487
137;0.0487492532
138;0.0487606972
139;0.0487715341
140;0.0487747155
141;0.0487758256
142;0.0487761758
143;0.0487809554
144;0.0487824455
145;0.0487853736
146;0.0488158092
147;0.0488231741
148;0.0488255061
149;0.0488260537
150;0.0488271452
151;0.0488352776
152;0.0488483422
153;0.0488501079
154;0.0488544330
155;0.0488551594
156;0.0488555320
157;0.0488583073
158;0.0488588512
159;0.0488597415
160;0.0488602668
161;0.0488643236
162;0.0488656722
163;0.0488671400
164;0.0488717072
165;0.0488724224
166;0.0488728508
167;0.0488743074
168;0.0488751046
169;0.0488754660
170;0.0488757715
171;0.0488760024
172;0.0488832667
173;0.0488846861
174;0.0490674600
175;0.0490675420
176;0.0490690395
177;0.0490790009
178;0.0490790009
179;0.0490792766
180;0.0490907207
181;0.0490922853
182;0.0490981489
183;0.0491162948
184;0.0491508655
185;0.0491678864
186;0.0491686016
187;0.0491694175
188;0.0491744094
189;0.0491751730
190;0.0492071472
191;0.0492116287
192;0.0492124781
193;0.0492249094
194;0.0492339805
195;0.0492676497
196;0.0492707267
197;0.0492765233
198;0.0492830314
199;0.0492999256
200;0.0493024662
201;0.0493058227
202;0.0493088774
203;0.0493095703
204;0.0493124686
205;0.0493133403
206;0.0493150167
207;0.0493306555
208;0.0493335165
209;0.0493555479
210;0.0493579358
211;0.0493733250
212;0.0493757948
213;0.0493786037
214;0.0493801124
215;0.0493938774
216;0.0493955463
217;0.0493973866
218;0.0493973866
219;0.0493979678
220;0.0494073294
221;0.0494082198
222;0.0494159162
223;0.0494235381
224;0.0494267233
225;0.0494300947
226;0.0494318381
227;0.0494318455
228;0.0494320691
229;0.0494388863
230;0.0494463444
231;0.0494591594
232;0.0494599231
233;0.0494640991
234;0.0494675636
235;0.0494679213
236;0.0494720079
237;0.0494783558
238;0.0494792983
239;0.0494800322
240;0.0494800918
241;0.0494806692
242;0.0495047942
243;0.0495055094
244;0.0495143496
245;0.0495169647
246;0.0495191403
247;0.0495212860
248;0.0495216809
249;0.0495225079
250;0.0495237559
251;0.0495343208
252;0.0495363623
253;0.0495372638
254;0.0495380051
255;0.0495381914
256;0.0495437346
257;0.0495459363
258;0.0495461710
259;0.0495469607
260;0.0495497063
261;0.0495497063
262;0.0495502837
263;0.0495573170
264;0.0495575815
265;0.0495579019
266;0.0496785082
267;0.0496843755
268;0.0496847928
269;0.0496849678
270;0.0497031249
271;0.0497036427
272;0.0497936830
273;0.0498029292
274;0.0498041548
275;0.0498053953
276;0.0498063713
277;0.0498069525
278;0.0498183295
279;0.0498240627
280;0.0498250127
281;0.0498264693
282;0.0498314723
283;0.0498316400
284;0.0498380959
285;0.0498382486
286;0.0498386584
287;0.0498388782
288;0.0498421192
289;0.0498498641
290;0.0498508774
291;0.0498509258
292;0.0498516262
293;0.0498749353
294;0.0498753041
295;0.0498829596
296;0.0498836376
297;0.0498837382
298;0.0498839505
299;0.0498839542
300;0.0498862825
301;0.0498886593
302;0.0498886593
303;0.0498886928
304;0.0498886928
305;0.0498897098
306;0.0498902202
307;0.0498907417
308;0.0498918667
309;0.0498949960
310;0.0498949960
311;0.0498976856
312;0.0499088913
313;0.0499096364
314;0.0499097221
315;0.0499136671
316;0.0499146916
317;0.0499318987
318;0.0499320105
319;0.0499327183
320;0.0499328040
321;0.0499351360
322;0.0499373600
323;0.0499376990
324;0.0499394163
325;0.0499394573
326;0.0499419607
327;0.0499426387
328;0.0499432459
329;0.0499489605
330;0.0499526672
331;0.0499867760
332;0.0499876663
333;0.0499876663
334;0.0500291847
335;0.0500295497
336;0.0500298329
337;0.0500298329
338;0.0500298329
339;0.0500305109
340;0.0500305109
341;0.0500305109
342;0.0500305109
343;0.0500384383
344;0.0500393957
345;0.0500393957
346;0.0500393957
347;0.0500421934
348;0.0500425175
349;0.0500428006
350;0.0500681624
351;0.0500709713
352;0.0500734299
353;0.0500840135
354;0.0500862189
355;0.0500873961
356;0.0500874035
357;0.0500881411
358;0.0500898883
359;0.0500900857
360;0.0500903763
361;0.0500915162
362;0.0500916205
363;0.0500925332
364;0.0500942282
365;0.0500977263
366;0.0500985384
367;0.0500998646
368;0.0501004606
369;0.0501004606
370;0.0501004606
371;0.0501004606
372;0.0501036085
373;0.0501048677
374;0.0501049757
375;0.0501067378
376;0.0501067378
377;0.0501067378
378;0.0501073115
379;0.0501073115
380;0.0501073115
381;0.0501073934
382;0.0501078926
383;0.0501084924
384;0.0501084924
385;0.0501462594
386;0.0501464680
387;0.0501478724
388;0.0501479954
389;0.0501479954
390;0.0501479954
391;0.0501487553
392;0.0501487553
393;0.0501497313
394;0.0501499511
395;0.0501513034
396;0.0501558892
397;0.0501569994
398;0.0501569994
399;0.0501571149
400;0.0501571186
401;0.0501596183
402;0.0501596183
403;0.0501596630
404;0.0501596630
405;0.0501650050
406;0.0501774177
407;0.0501777939
408;0.0501785874
409;0.0501794256
410;0.0501794256
411;0.0501794256
412;0.0501824878
413;0.0501824878
414;0.0501827039
415;0.0501827784
416;0.0501834005
417;0.0501834005
418;0.0501834005
419;0.0501834005
420;0.0501834005
421;0.0501834005
422;0.0501834005
423;0.0501834117
424;0.0501871854
425;0.0501874499
426;0.0501967855
427;0.0501981117
428;0.0501981303
429;0.0501986593
430;0.0501986966
431;0.0501986966
432;0.0501986966
433;0.0502008311
434;0.0502013229
435;0.0502013229
436;0.0502013378
437;0.0502208471
438;0.0502208471
439;0.0502208471
440;0.0502213798
441;0.0502213798
442;0.0502215624
443;0.0502244122
444;0.0502259172
445;0.0502259172
446;0.0502259172
447;0.0502259172
448;0.0502259172
449;0.0502282567
450;0.0502288677
451;0.0502416492
452;0.0502416492
453;0.0502559282
454;0.0502564609
455;0.0502574407
456;0.0502591915
457;0.0502710268
458;0.0502710268
459;0.0502710268
460;0.0502710752
461;0.0502710752
462;0.0502738282
463;0.0502738282
464;0.0502750501
465;0.0502849668
