Generación;Mejor Fitness
1;0.0426521190
2;0.0426970646
3;0.0427089483
4;0.0428134277
5;0.0428324789
6;0.0428656749
7;0.0428981148
8;0.0429069512
9;0.0429423563
10;0.0429510660
11;0.0429624133
12;0.0429944657
13;0.0430102684
14;0.0430288278
15;0.0430514030
16;0.0430664010
17;0.0430769362
18;0.0430866964
19;0.0430981368
20;0.0431047790
21;0.0431070216
22;0.0431649983
23;0.0431750230
24;0.0431766920
25;0.0432001799
26;0.0432203114
27;0.0432265401
28;0.0432332382
29;0.0432454385
30;0.0432502180
31;0.0432611629
32;0.0432804413
33;0.0432833359
34;0.0432989784
35;0.0433331020
36;0.0433482714
37;0.0433513224
38;0.0433714278
39;0.0433755107
40;0.0434192345
41;0.0434241220
42;0.0434397571
43;0.0434459820
44;0.0434537008
45;0.0434552282
46;0.0434655361
47;0.0434669219
48;0.0434844233
49;0.0435151421
50;0.0435183570
51;0.0435337648
52;0.0435431227
53;0.0435659736
54;0.0435720086
55;0.0435778983
56;0.0435874052
57;0.0435884073
58;0.0435992517
59;0.0436019264
60;0.0436279252
61;0.0436294973
62;0.0436391681
63;0.0436438061
64;0.0436468907
65;0.0436487608
66;0.0436492562
67;0.0436525308
68;0.0436640456
69;0.0436679311
70;0.0436689630
71;0.0436928608
72;0.0436934344
73;0.0436947681
74;0.0437204465
75;0.0437250398
76;0.0437271930
77;0.0437353030
78;0.0437468439
79;0.0437481366
80;0.0437503532
81;0.0437508039
82;0.0437590778
83;0.0437616482
84;0.0437633879
85;0.0437690057
86;0.0437698849
87;0.0437706411
88;0.0437753052
89;0.0437765345
90;0.0437808931
91;0.0437882729
92;0.0437984802
93;0.0438001379
94;0.0438012779
95;0.0438033529
96;0.0438100472
97;0.0438194126
98;0.0438208506
99;0.0438230485
100;0.0438245386
101;0.0438246578
102;0.0438256785
103;0.0438298732
104;0.0438303575
105;0.0438343845
106;0.0438349023
107;0.0438399836
108;0.0438522510
109;0.0438525118
110;0.0438561551
111;0.0438570529
112;0.0438580066
113;0.0438593179
114;0.0438631661
115;0.0438634232
116;0.0438681766
117;0.0438684300
118;0.0438727029
119;0.0438743047
120;0.0438857339
121;0.0438874774
122;0.0438879579
123;0.0438913219
124;0.0438916609
125;0.0438931920
126;0.0438988917
127;0.0438992046
128;0.0438998453
129;0.0439013131
130;0.0439015776
131;0.0439030379
132;0.0439071134
133;0.0439074114
134;0.0439103618
135;0.0439110026
136;0.0439144447
137;0.0439165458
138;0.0439200588
139;0.0439215973
140;0.0439222455
141;0.0439436361
142;0.0439523980
143;0.0439534150
144;0.0439539887
145;0.0439545251
146;0.0439550541
147;0.0439576320
148;0.0439650379
149;0.0439658612
150;0.0439689606
151;0.0439690091
152;0.0439735912
153;0.0439739451
154;0.0439777188
155;0.0439831614
156;0.0439926684
157;0.0439962484
158;0.0439977236
159;0.0439980291
160;0.0440011956
161;0.0440117419
162;0.0440189391
163;0.0440194905
164;0.0440196283
165;0.0440291837
166;0.0440312773
167;0.0440431163
168;0.0440432392
169;0.0440458879
170;0.0440534540
171;0.0440563895
172;0.0440581329
173;0.0440587923
174;0.0440629050
175;0.0440699868
176;0.0440713055
177;0.0440716855
178;0.0440721773
179;0.0440743156
180;0.0440744162
181;0.0440756381
182;0.0440771505
183;0.0440780297
184;0.0440788493
185;0.0440976359
186;0.0441054776
187;0.0441076644
188;0.0441111922
189;0.0441115014
190;0.0441133417
191;0.0441198684
192;0.0441211425
193;0.0441237465
194;0.0441289693
195;0.0441292375
196;0.0441320390
197;0.0441368707
198;0.0441370420
199;0.0441448353
200;0.0441458896
201;0.0441464186
202;0.0441469438
203;0.0441481657
204;0.0441522337
205;0.0441585779
206;0.0441593267
207;0.0441598855
208;0.0441655107
209;0.0441660434
210;0.0441728383
211;0.0441736504
212;0.0441754125
213;0.0441781320
214;0.0441782288
215;0.0441958047
216;0.0442016311
217;0.0442028642
218;0.0442060046
219;0.0442109667
220;0.0442122184
221;0.0442142189
222;0.0442179032
223;0.0442181416
224;0.0442207158
225;0.0442218669
226;0.0442257449
227;0.0442291908
228;0.0442293100
229;0.0442312583
230;0.0442319475
231;0.0442324989
232;0.0442325994
233;0.0442331843
234;0.0442384146
235;0.0442390703
236;0.0442392640
237;0.0442413911
238;0.0442417152
239;0.0442478731
240;0.0442530476
241;0.0442560799
242;0.0442571230
243;0.0442580245
244;0.0442613102
245;0.0442627184
246;0.0442634001
247;0.0442634672
248;0.0442647301
249;0.0442667529
250;0.0442720167
251;0.0442724340
252;0.0442743450
253;0.0442752801
254;0.0442754701
255;0.0442756638
256;0.0442757308
257;0.0442759134
258;0.0442761444
259;0.0442780927
260;0.0442788601
261;0.0442801043
262;0.0442805625
263;0.0442820042
264;0.0442823172
265;0.0442824885
266;0.0442858525
267;0.0442861393
268;0.0442862958
269;0.0442867987
270;0.0442875139
271;0.0442914777
272;0.0442942753
273;0.0442949459
274;0.0442951210
275;0.0442984030
276;0.0442986898
277;0.0443033315
278;0.0443050228
279;0.0443098508
280;0.0443139784
281;0.0443154313
282;0.0443162620
283;0.0443163887
284;0.0443187505
285;0.0443294831
286;0.0443325564
287;0.0443326198
288;0.0443343297
289;0.0443352573
290;0.0443381257
291;0.0443404131
292;0.0443443395
293;0.0443503223
294;0.0443521328
295;0.0443539061
296;0.0443539806
297;0.0443544872
298;0.0443557613
299;0.0443604626
300;0.0443605259
301;0.0443630181
302;0.0443644859
303;0.0443653576
304;0.0443655103
305;0.0443670377
306;0.0443721227
307;0.0443722606
308;0.0443728343
309;0.0443738177
310;0.0443752483
311;0.0443759747
312;0.0443775505
313;0.0443779156
314;0.0443789288
315;0.0443819501
316;0.0443822481
317;0.0443862900
318;0.0443863794
319;0.0443864614
320;0.0443870723
321;0.0443873256
322;0.0443878733
323;0.0443894230
324;0.0443958268
325;0.0443973504
326;0.0443981104
327;0.0443987213
328;0.0443998650
329;0.0444001704
330;0.0444001704
331;0.0444005728
332;0.0444012024
333;0.0444015376
334;0.0444027632
335;0.0444031805
336;0.0444034263
337;0.0444034860
338;0.0444048792
339;0.0444055460
340;0.0444066785
341;0.0444088243
342;0.0444114916
343;0.0444115065
344;0.0444185138
345;0.0444187522
346;0.0444190204
347;0.0444190204
348;0.0444190800
349;0.0444198735
350;0.0444214791
351;0.0444215089
352;0.0444217883
353;0.0444224253
354;0.0444224365
355;0.0444226526
356;0.0444234163
357;0.0444234237
358;0.0444234274
359;0.0444234535
360;0.0444234535
361;0.0444251634
362;0.0444257446
363;0.0444260761
364;0.0444273129
365;0.0444277227
366;0.0444281735
367;0.0444282070
368;0.0444282107
369;0.0444306619
370;0.0444312803
371;0.0444313921
372;0.0444319099
373;0.0444323197
374;0.0444325209
375;0.0444335788
376;0.0444343053
377;0.0444346108
378;0.0444368087
379;0.0444376804
380;0.0444382876
381;0.0444390289
382;0.0444390811
383;0.0444392338
384;0.0444405228
385;0.0444409028
386;0.0444435365
387;0.0444436260
388;0.0444436744
389;0.0444451421
390;0.0444465913
391;0.0444479063
392;0.0444481149
393;0.0444507599
394;0.0444529653
395;0.0444531068
396;0.0444534756
397;0.0444545820
398;0.0444569811
399;0.0444571190
400;0.0444576517
401;0.0444596484
402;0.0444607586
403;0.0444608219
404;0.0444610827
405;0.0444611199
406;0.0444616005
407;0.0444632806
408;0.0444633812
409;0.0444639549
410;0.0444639549
411;0.0444640256
412;0.0444643945
413;0.0444664098
414;0.0444669314
415;0.0444674678
416;0.0444675051
417;0.0444675870
418;0.0444676653
419;0.0444677398
420;0.0444746129
421;0.0444775224
422;0.0444775373
423;0.0444775932
424;0.0444776416
425;0.0444785394
426;0.0444802791
427;0.0444808491
428;0.0444819555
429;0.0444824062
430;0.0444827527
431;0.0444827750
432;0.0444828160
433;0.0444829687
434;0.0444831848
435;0.0444838516
436;0.0444866270
437;0.0444866568
438;0.0444871671
439;0.0444883965
440;0.0444904715
441;0.0444907434
442;0.0444908999
443;0.0444909520
444;0.0444911681
445;0.0444914661
446;0.0444953181
447;0.0444954485
448;0.0444978103
449;0.0444983318
450;0.0445002988
451;0.0445007682
452;0.0445009507
453;0.0445211045
454;0.0445214547
455;0.0445228182
456;0.0445231311
457;0.0445233509
458;0.0445239991
459;0.0445253290
460;0.0445254706
461;0.0445255451
462;0.0445270762
463;0.0445283465
464;0.0445286781
465;0.0445289426
466;0.0445291139
467;0.0445292182
468;0.0445297547
469;0.0445298888
470;0.0445299409
471;0.0445311144
472;0.0445317030
473;0.0445320159
474;0.0445339642
475;0.0445363596
476;0.0445421115
477;0.0445423461
478;0.0445424058
479;0.0445428044
480;0.0445430838
481;0.0445431322
482;0.0445435718
483;0.0445440449
484;0.0445445888
485;0.0445450507
486;0.0445456244
487;0.0445496105
488;0.0445498787
489;0.0445500650
490;0.0445521735
491;0.0445534587
492;0.0445535779
493;0.0445535854
494;0.0445555001
495;0.0445559956
496;0.0445579402
497;0.0445583314
498;0.0445601419
499;0.0445602946
500;0.0445604883
501;0.0445614979
502;0.0445616357
503;0.0445616767
504;0.0445616916
505;0.0445622355
506;0.0445622355
507;0.0445631407
508;0.0445631407
509;0.0445631407
510;0.0445634723
511;0.0445637219
512;0.0445642285
513;0.0445642322
514;0.0445642844
515;0.0445643477
516;0.0445646122
517;0.0445647091
518;0.0445647091
519;0.0445647091
520;0.0445662625
521;0.0445717312
522;0.0445880890
523;0.0445881039
524;0.0445881039
525;0.0445897356
526;0.0445897430
527;0.0445901155
528;0.0445902124
529;0.0445907600
530;0.0445910692
531;0.0445910692
532;0.0446055904
533;0.0446088351
534;0.0446095355
535;0.0446103066
