Generación;Mejor Fitness
1;0.0420765281
2;0.0421375148
3;0.0421622247
4;0.0421971381
5;0.0422077551
6;0.0422255993
7;0.0423894338
8;0.0423972830
9;0.0424420126
10;0.0424463861
11;0.0425009839
12;0.0425252803
13;0.0425339751
14;0.0425773226
15;0.0426565930
16;0.0428323597
17;0.0428387374
18;0.0428515896
19;0.0428697579
20;0.0428755246
21;0.0428852364
22;0.0428999513
23;0.0429062545
24;0.0429094061
25;0.0429269858
26;0.0429281220
27;0.0429519787
28;0.0429680347
29;0.0429743342
30;0.0429767482
31;0.0429850593
32;0.0430340655
33;0.0430496894
34;0.0431037210
35;0.0431814939
36;0.0431869887
37;0.0432018526
38;0.0432133749
39;0.0432223529
40;0.0432374217
41;0.0432612076
42;0.0432628691
43;0.0433223322
44;0.0433715917
45;0.0433887132
46;0.0433940962
47;0.0434072539
48;0.0434128009
49;0.0434145406
50;0.0434250832
51;0.0435668752
52;0.0435800180
53;0.0436213389
54;0.0436387435
55;0.0436518043
56;0.0436604396
57;0.0436643809
58;0.0436666273
59;0.0437000059
60;0.0437050201
61;0.0437174141
62;0.0437239967
63;0.0437459871
64;0.0437579975
65;0.0437750407
66;0.0437755249
67;0.0437834524
68;0.0437861197
69;0.0438347496
70;0.0438378155
71;0.0438990407
72;0.0439010710
73;0.0439040549
74;0.0439103171
75;0.0439147428
76;0.0439160690
77;0.0439181849
78;0.0439239927
79;0.0439428240
80;0.0439507999
81;0.0439589657
82;0.0439702570
83;0.0439705141
84;0.0439873971
85;0.0439906716
86;0.0439954624
87;0.0440016948
88;0.0440077372
89;0.0440169014
90;0.0440210029
91;0.0440254286
92;0.0440292209
93;0.0442286246
94;0.0442442968
95;0.0442977287
96;0.0443182997
97;0.0443190150
98;0.0443214774
99;0.0443242602
100;0.0443265438
101;0.0443318225
102;0.0443410166
103;0.0443424657
104;0.0443430953
105;0.0443485491
106;0.0443494953
107;0.0443595722
108;0.0443636887
109;0.0443650000
110;0.0443733297
111;0.0443858095
112;0.0443874449
113;0.0443889424
114;0.0444037579
115;0.0444062017
116;0.0444147289
117;0.0444155373
118;0.0444201417
119;0.0444209538
120;0.0444235317
121;0.0444236249
122;0.0444475412
123;0.0444796868
124;0.0445042625
125;0.0445067473
126;0.0445127040
127;0.0445557572
128;0.0445615910
129;0.0445799865
130;0.0445802435
131;0.0445847549
132;0.0445916615
133;0.0445919037
134;0.0446056500
135;0.0446090624
136;0.0446642376
137;0.0446651913
138;0.0446867868
139;0.0446914844
140;0.0446987525
141;0.0447001271
142;0.0447132885
143;0.0447277501
144;0.0447280779
145;0.0447295681
146;0.0447323062
147;0.0447397865
148;0.0447542109
149;0.0447574593
150;0.0447584391
151;0.0447590798
152;0.0447857901
153;0.0447863638
154;0.0447905548
155;0.0448052771
156;0.0448056124
157;0.0448087603
158;0.0448127650
159;0.0448136292
160;0.0448205173
161;0.0448335074
162;0.0448335521
163;0.0448390804
164;0.0448448993
165;0.0448455922
166;0.0448467359
167;0.0448776782
168;0.0448799916
169;0.0448799916
170;0.0448893271
171;0.0448896363
172;0.0448896587
173;0.0448897481
174;0.0448902585
175;0.0448905751
176;0.0448907129
177;0.0448986627
178;0.0448989086
179;0.0448998027
180;0.0448999181
181;0.0448999181
182;0.0449018925
183;0.0449023545
184;0.0449028313
185;0.0449059159
186;0.0449116565
187;0.0449559055
188;0.0449560247
189;0.0449582711
190;0.0449612811
191;0.0449810959
192;0.0450003482
193;0.0450028293
194;0.0450028516
195;0.0450078994
196;0.0450170860
197;0.0450193882
198;0.0450193882
199;0.0450246297
200;0.0450246483
201;0.0450249985
202;0.0450274609
203;0.0450274833
204;0.0450278297
205;0.0450406596
206;0.0450434573
207;0.0450457633
208;0.0450460389
209;0.0450460911
210;0.0450493954
211;0.0450769775
212;0.0450986437
213;0.0450988747
214;0.0451042168
215;0.0451091230
216;0.0451115072
217;0.0451313816
218;0.0451339707
219;0.0451869071
220;0.0451879688
221;0.0451989099
222;0.0451995507
223;0.0452004559
224;0.0452010334
225;0.0452011786
226;0.0452026762
227;0.0452029072
228;0.0452030525
229;0.0452045165
230;0.0452045277
231;0.0452087745
232;0.0452088416
233;0.0452099666
234;0.0452114306
235;0.0452190191
236;0.0452436246
237;0.0452437736
238;0.0452497639
239;0.0452982411
240;0.0452985205
241;0.0452987961
242;0.0452995375
243;0.0453067534
244;0.0453073867
245;0.0453134365
246;0.0453137904
247;0.0453138240
248;0.0453141928
