Generación;Mejor Fitness
1;0.0416182354
2;0.0416346714
3;0.0416580252
4;0.0416692644
5;0.0416817442
6;0.0416817442
7;0.0417141132
8;0.0417291038
9;0.0417307504
10;0.0417544618
11;0.0417544618
12;0.0417597145
13;0.0418055616
14;0.0418099649
15;0.0418522172
16;0.0418786034
17;0.0418786034
18;0.0419417471
19;0.0419417471
20;0.0419427678
21;0.0419765189
22;0.0419914462
23;0.0420275629
24;0.0420305468
25;0.0420379452
26;0.0422883891
27;0.0422883891
28;0.0422944501
29;0.0424156189
30;0.0424207188
31;0.0424207188
32;0.0424279757
33;0.0424280651
34;0.0424516387
35;0.0424522348
36;0.0424912572
37;0.0424912572
38;0.0425000601
39;0.0425245427
40;0.0425275005
41;0.0425282530
42;0.0425336771
43;0.0425339751
44;0.0425341092
45;0.0425348468
46;0.0425980948
47;0.0426177420
48;0.0426177420
49;0.0426229425
50;0.0426247232
51;0.0426247232
52;0.0426281616
53;0.0426357202
54;0.0426451229
55;0.0426485129
56;0.0426616520
57;0.0426616520
58;0.0427083410
59;0.0427083410
60;0.0427373424
61;0.0427600704
62;0.0427652374
63;0.0428040214
64;0.0428356379
65;0.0428434126
66;0.0428434126
67;0.0428434126
68;0.0428434126
69;0.0428647622
70;0.0428711027
71;0.0428756140
72;0.0428932905
73;0.0429022238
74;0.0429043099
75;0.0429119729
76;0.0429208502
77;0.0429724418
78;0.0429750010
79;0.0429923385
80;0.0429923385
81;0.0430208221
82;0.0430217795
83;0.0430217795
84;0.0431260914
85;0.0431265905
86;0.0431274958
87;0.0431369282
88;0.0431406945
89;0.0431442708
90;0.0431442708
91;0.0431466214
92;0.0431474522
93;0.0431474522
94;0.0431474634
95;0.0431474634
96;0.0431486033
97;0.0431486033
98;0.0431489050
99;0.0431518108
100;0.0431531668
101;0.0431564227
102;0.0431628674
103;0.0431628674
104;0.0431647599
105;0.0431647599
106;0.0431647599
107;0.0432263277
108;0.0432263277
109;0.0432631299
110;0.0432686694
111;0.0432955734
112;0.0433476679
113;0.0433482081
114;0.0433539227
115;0.0433555059
116;0.0433555059
117;0.0433561355
118;0.0433581397
119;0.0433581397
120;0.0433581397
121;0.0433618799
122;0.0433618799
123;0.0433646478
124;0.0433646478
125;0.0433646478
126;0.0433649793
127;0.0433846824
128;0.0433847159
129;0.0433847159
130;0.0433849506
131;0.0433849506
132;0.0433849506
133;0.0433926769
134;0.0433932915
135;0.0434042439
136;0.0434145518
137;0.0434145518
138;0.0434145518
139;0.0434163511
140;0.0434222706
141;0.0434262082
142;0.0434483960
143;0.0434483960
144;0.0434483960
145;0.0434483960
146;0.0434483960
147;0.0434804447
148;0.0434804447
149;0.0434941910
150;0.0434941910
151;0.0434941910
152;0.0434941910
153;0.0435306616
154;0.0435306616
155;0.0435307212
156;0.0435310267
157;0.0435310267
158;0.0435336903
159;0.0435336903
160;0.0435426235
161;0.0435426235
162;0.0435426235
163;0.0435426235
164;0.0435430519
165;0.0435430519
166;0.0435430519
167;0.0435430519
168;0.0435487144
169;0.0435487144
170;0.0435644798
171;0.0435644798
172;0.0435657091
173;0.0435657091
174;0.0435749553
175;0.0435810052
176;0.0435810052
177;0.0435810983
178;0.0435810983
179;0.0435810983
180;0.0435810983
181;0.0435812175
182;0.0435945205
183;0.0435947292
184;0.0436009653
185;0.0436067209
186;0.0436067209
187;0.0436067209
188;0.0436067209
189;0.0436067209
190;0.0436067209
191;0.0436067320
192;0.0436073467
193;0.0436073467
194;0.0436083637
195;0.0436116718
196;0.0436142273
197;0.0436142273
198;0.0436262339
199;0.0436281748
200;0.0436281748
