Generación;Mejor Fitness
1;0.0415443070
2;0.0414740369
3;0.0414740369
4;0.0414771885
5;0.0414771885
6;0.0415322110
7;0.0416373760
8;0.0416581556
9;0.0416581556
10;0.0416633822
11;0.0416610613
12;0.0417098291
13;0.0417133719
14;0.0417970531
15;0.0418477319
16;0.0418477319
17;0.0418477319
18;0.0418586880
19;0.0420249291
20;0.0420249291
21;0.0420249291
22;0.0420249291
23;0.0420262702
24;0.0420585014
25;0.0420585014
26;0.0420662314
27;0.0421000384
28;0.0422371849
29;0.0422371849
30;0.0422373340
31;0.0422822721
32;0.0423185825
33;0.0423185825
34;0.0423190705
35;0.0423264019
36;0.0423766673
37;0.0423766673
38;0.0423811786
39;0.0423766673
40;0.0423766673
41;0.0423950739
42;0.0423950739
43;0.0423961356
44;0.0423961356
45;0.0423984751
46;0.0424039140
47;0.0424039140
48;0.0424106158
49;0.0424122252
50;0.0424122252
51;0.0424157754
52;0.0424242392
53;0.0424242392
54;0.0424246565
55;0.0424308777
56;0.0424308777
57;0.0424315222
58;0.0424324535
59;0.0424659885
60;0.0424666852
61;0.0424666852
62;0.0424773656
63;0.0424773656
64;0.0424850732
65;0.0424850732
66;0.0424850732
67;0.0425132588
68;0.0425132588
69;0.0425132588
70;0.0425206311
71;0.0425206311
72;0.0425206311
73;0.0425206311
74;0.0425212160
75;0.0425212160
76;0.0425212160
77;0.0425297096
78;0.0425297096
79;0.0425300598
80;0.0425577499
81;0.0425577499
82;0.0425577573
83;0.0425645374
84;0.0425645374
85;0.0425839201
86;0.0425839201
87;0.0425839201
88;0.0425889455
89;0.0425889455
90;0.0425889455
91;0.0426203497
92;0.0426255725
93;0.0426255725
94;0.0426255725
95;0.0426255986
96;0.0426255986
97;0.0426303893
98;0.0426303893
99;0.0426305495
100;0.0426305495
101;0.0426305495
102;0.0426305495
103;0.0426348969
104;0.0426348969
105;0.0426348969
106;0.0426348969
107;0.0426384173
108;0.0426522791
109;0.0426522791
110;0.0426522791
111;0.0426563323
112;0.0426563323
113;0.0426609479
114;0.0426797308
115;0.0426984951
116;0.0426984951
117;0.0426984951
118;0.0426984951
119;0.0426984951
120;0.0427113920
121;0.0427336693
122;0.0427336693
123;0.0427379869
124;0.0427379869
125;0.0427430756
126;0.0427555181
127;0.0427555181
128;0.0428121239
129;0.0428121239
130;0.0428121239
131;0.0428121239
132;0.0428125858
133;0.0428125858
134;0.0428176560
135;0.0428176560
136;0.0428176560
137;0.0428212807
138;0.0428285897
139;0.0428294912
140;0.0428524390
141;0.0428666137
142;0.0428667888
143;0.0428667888
144;0.0428696126
145;0.0428792238
146;0.0428792238
147;0.0428792238
148;0.0428794734
149;0.0428794734
150;0.0428810343
151;0.0428810343
152;0.0428810343
153;0.0428815223
154;0.0429063700
155;0.0430273488
156;0.0429063700
157;0.0429063700
158;0.0429109521
159;0.0429126322
160;0.0429253541
161;0.0429253541
162;0.0429253541
163;0.0429285355
164;0.0429374687
165;0.0429374687
166;0.0429428294
167;0.0429428294
168;0.0429593287
169;0.0429593287
170;0.0429662913
171;0.0429662913
172;0.0429662913
173;0.0429662913
174;0.0429662913
175;0.0429673046
176;0.0429784581
177;0.0429690853
178;0.0429705493
179;0.0429712348
180;0.0429970175
181;0.0429970175
182;0.0431481116
183;0.0431481116
184;0.0431481116
185;0.0431481116
186;0.0431638062
187;0.0431481116
188;0.0431499742
189;0.0431509316
190;0.0431538746
191;0.0431538746
192;0.0431556366
193;0.0431556366
194;0.0431556366
195;0.0432666801
196;0.0432687514
197;0.0432694033
198;0.0432752669
199;0.0432752669
200;0.0432861336
