Generación;Mejor Fitness
1;0.0415366851
2;0.0415437743
3;0.0415437743
4;0.0415437743
5;0.0415437743
6;0.0416299403
7;0.0416299403
8;0.0416299403
9;0.0416396484
10;0.0417171530
11;0.0417171530
12;0.0417281613
13;0.0417368896
14;0.0417368896
15;0.0417418294
16;0.0417418294
17;0.0417493694
18;0.0417721607
19;0.0417721607
20;0.0418222658
21;0.0418222658
22;0.0418300070
23;0.0418300070
24;0.0418466441
25;0.0418466441
26;0.0418466441
27;0.0418558009
28;0.0418558009
29;0.0418558009
30;0.0418568254
31;0.0418568254
32;0.0418568254
33;0.0418568254
34;0.0418568254
35;0.0418691710
36;0.0418691710
37;0.0418691710
38;0.0418691710
39;0.0418708324
40;0.0418691710
41;0.0418711975
42;0.0418711975
43;0.0418711975
44;0.0418863818
45;0.0418863818
46;0.0419165269
47;0.0419165269
48;0.0419168212
49;0.0419168212
50;0.0419216342
51;0.0420214757
52;0.0420214757
53;0.0420214757
54;0.0420214757
55;0.0420214757
56;0.0420214757
57;0.0420214757
58;0.0420222841
59;0.0420222841
60;0.0420222841
61;0.0420222841
62;0.0420222841
63;0.0420294404
64;0.0420294404
65;0.0420294404
66;0.0420294404
67;0.0420294404
68;0.0420294404
69;0.0420294404
70;0.0420294404
71;0.0420294404
72;0.0420300327
73;0.0420300327
74;0.0420300327
75;0.0420300327
76;0.0420300327
77;0.0420300327
78;0.0420300327
79;0.0420300327
80;0.0420300327
81;0.0420300327
82;0.0420300327
83;0.0420300327
84;0.0420300327
85;0.0420300327
86;0.0420300327
87;0.0420300327
88;0.0420300327
89;0.0420300327
90;0.0420300327
91;0.0420300327
92;0.0420300327
93;0.0420300327
94;0.0420300327
95;0.0420300327
96;0.0420300327
97;0.0420300327
98;0.0420300327
99;0.0420300327
100;0.0420359001
101;0.0420359001
102;0.0420359001
103;0.0420359001
104;0.0420392491
105;0.0420392491
106;0.0420392491
107;0.0420986414
108;0.0420986414
109;0.0420986414
110;0.0420986414
111;0.0420986414
112;0.0420986414
113;0.0420986414
114;0.0420986414
115;0.0420986414
116;0.0420986414
117;0.0420986414
118;0.0421203002
119;0.0421203002
120;0.0421203002
121;0.0421203002
122;0.0421203002
123;0.0421203002
124;0.0421203002
125;0.0421203002
126;0.0421203002
127;0.0421203002
128;0.0421203002
129;0.0421203002
130;0.0421203002
131;0.0421203002
132;0.0421218760
133;0.0421218760
134;0.0421218760
135;0.0421218760
136;0.0421218760
137;0.0421218760
138;0.0421218760
139;0.0421218760
140;0.0421313643
141;0.0421313643
142;0.0421313643
143;0.0421313643
144;0.0421313643
145;0.0421313643
146;0.0421313643
147;0.0421313643
148;0.0421313643
149;0.0421313643
150;0.0421313643
151;0.0421313643
152;0.0421313643
153;0.0421313643
154;0.0421313643
155;0.0421313643
156;0.0421313643
157;0.0421313643
158;0.0421313643
159;0.0421313643
160;0.0421313643
161;0.0421313643
162;0.0421313643
163;0.0421313643
164;0.0421313643
165;0.0421313643
166;0.0421313643
167;0.0421313643
168;0.0421313643
169;0.0421313643
170;0.0421313643
171;0.0421313643
172;0.0421313643
173;0.0421313643
174;0.0421313643
175;0.0421313643
176;0.0421313643
177;0.0421313643
178;0.0421313643
179;0.0421313643
180;0.0421313643
181;0.0421313643
182;0.0421313643
183;0.0421313643
184;0.0421313643
185;0.0421313643
186;0.0421313643
187;0.0421313643
188;0.0421313643
189;0.0421313643
190;0.0421313643
191;0.0421313643
192;0.0421313643
193;0.0421313643
194;0.0421313643
195;0.0421313643
196;0.0421313643
197;0.0421313643
198;0.0421313643
199;0.0421313643
200;0.0421313643
