Generación;Mejor Fitness
1;0.0417901799
2;0.0417901799
3;0.0417901799
4;0.0417901799
5;0.0417901799
6;0.0418169834
7;0.0418546051
8;0.0418546051
9;0.0418557450
10;0.0418546051
11;0.0418748073
12;0.0419005938
13;0.0419005938
14;0.0419291295
15;0.0419587716
16;0.0419587716
17;0.0419587716
18;0.0419862755
19;0.0419862755
20;0.0420046709
21;0.0420046709
22;0.0420129709
23;0.0420162305
24;0.0420219228
25;0.0420219228
26;0.0420393571
27;0.0420219228
28;0.0420434847
29;0.0420434847
30;0.0420434847
31;0.0420467108
32;0.0420519225
33;0.0420519225
34;0.0420940816
35;0.0421035960
36;0.0421035960
37;0.0421035960
38;0.0421035960
39;0.0421035960
40;0.0421313941
41;0.0421313941
42;0.0421313941
43;0.0421313941
44;0.0421313941
45;0.0421372652
46;0.0421372652
47;0.0421372652
48;0.0421372652
49;0.0421372652
50;0.0421372652
51;0.0421372652
52;0.0421372652
53;0.0421372652
54;0.0421372652
55;0.0421372652
56;0.0421372652
57;0.0421372652
58;0.0421372652
59;0.0421408638
60;0.0421408638
61;0.0421408638
62;0.0421497524
63;0.0421497524
64;0.0421497524
65;0.0421560407
66;0.0421601795
67;0.0421601795
68;0.0421601795
69;0.0421601795
70;0.0421601795
71;0.0421601795
72;0.0421938933
73;0.0421938933
74;0.0421938933
75;0.0421959534
76;0.0421959534
77;0.0421959534
78;0.0421959534
79;0.0422072895
80;0.0422072895
81;0.0422072895
82;0.0422072895
83;0.0422289819
84;0.0422350280
85;0.0422516763
86;0.0422516763
87;0.0422516763
88;0.0422516763
89;0.0422516763
90;0.0422516763
91;0.0422516763
92;0.0422516763
93;0.0422516763
94;0.0422519073
95;0.0422519073
96;0.0422519073
97;0.0422519073
98;0.0422519073
99;0.0422519073
100;0.0422586203
101;0.0422586203
102;0.0422586203
103;0.0422586203
104;0.0422586203
105;0.0422609709
106;0.0422609709
107;0.0422754064
108;0.0422754064
109;0.0422754064
110;0.0422754064
111;0.0422754064
112;0.0422830991
113;0.0422830991
114;0.0422830991
115;0.0422830991
116;0.0422830991
117;0.0422830991
118;0.0422925279
119;0.0422925279
120;0.0422925279
121;0.0422925279
122;0.0422986448
123;0.0422986448
124;0.0423227176
125;0.0423227176
126;0.0423227176
127;0.0423227176
128;0.0423227176
129;0.0423227176
130;0.0423227176
131;0.0423227176
132;0.0423227176
133;0.0423285365
134;0.0423285365
135;0.0423285365
136;0.0423699953
137;0.0423699953
138;0.0423699953
139;0.0423699953
140;0.0423699953
141;0.0423699953
142;0.0423699953
143;0.0423699953
144;0.0423747189
145;0.0423957147
146;0.0423957147
147;0.0423957147
148;0.0424349084
149;0.0424349084
150;0.0424349084
151;0.0424349084
152;0.0424349084
153;0.0424349084
154;0.0424349084
155;0.0424349084
156;0.0424349084
157;0.0424349084
158;0.0424349084
159;0.0424349084
160;0.0424349084
161;0.0424415544
162;0.0424415544
163;0.0424415544
164;0.0424415544
165;0.0424629562
166;0.0424629562
167;0.0424629562
168;0.0424629562
169;0.0424629562
170;0.0424629562
171;0.0424629562
172;0.0424655937
173;0.0424698852
174;0.0424698852
175;0.0424752235
176;0.0424752235
177;0.0424752235
178;0.0424752235
179;0.0424752235
180;0.0424752235
181;0.0424752235
182;0.0424752235
183;0.0424752235
184;0.0424752235
185;0.0424752235
186;0.0424752235
187;0.0424752235
188;0.0424754620
189;0.0424754620
190;0.0424754620
191;0.0424754620
192;0.0424754620
193;0.0424754620
194;0.0424754620
195;0.0424754620
196;0.0424754620
197;0.0424754620
198;0.0424754620
199;0.0424754620
200;0.0424758680
