Generación;Mejor Fitness
1;0.0417351276
2;0.0417351276
3;0.0419420414
4;0.0419420414
5;0.0419420414
6;0.0419420414
7;0.0420114025
8;0.0420608968
9;0.0421996973
10;0.0421996973
11;0.0421220772
12;0.0421906896
13;0.0422633067
14;0.0422633067
15;0.0422633067
16;0.0422633067
17;0.0422633067
18;0.0422633551
19;0.0423040055
20;0.0423040055
21;0.0423040055
22;0.0423040055
23;0.0423040055
24;0.0423040055
25;0.0423289239
26;0.0423289239
27;0.0423289239
28;0.0423721112
29;0.0423721112
30;0.0423721112
31;0.0423721112
32;0.0423721112
33;0.0423721112
34;0.0423721112
35;0.0423894376
36;0.0423894376
37;0.0423894376
38;0.0423894376
39;0.0423894376
40;0.0423894376
41;0.0423928387
42;0.0423946232
43;0.0424008109
44;0.0424008109
45;0.0424008109
46;0.0425363891
47;0.0425363891
48;0.0425363891
49;0.0425363891
50;0.0425439440
51;0.0425453857
52;0.0425551310
53;0.0425551310
54;0.0425730087
55;0.0425730087
56;0.0425730087
57;0.0425730087
58;0.0425730087
59;0.0425864793
60;0.0425864793
61;0.0425891206
62;0.0425891206
63;0.0425891206
64;0.0425891206
65;0.0425891206
66;0.0425899513
67;0.0425899513
68;0.0425899513
69;0.0425899513
70;0.0425952934
71;0.0425952934
72;0.0425952934
73;0.0425952934
74;0.0425970405
75;0.0425970405
76;0.0425970405
77;0.0426015034
78;0.0426015034
79;0.0426015034
80;0.0426015034
81;0.0426099412
82;0.0426099412
83;0.0426198207
84;0.0426198207
85;0.0426198207
86;0.0426386520
87;0.0426386520
88;0.0426486097
89;0.0426486097
90;0.0426524431
91;0.0426630005
92;0.0426630005
93;0.0426630005
94;0.0426630005
95;0.0426630005
96;0.0426630005
97;0.0426630005
98;0.0426630005
99;0.0426630005
100;0.0426630005
101;0.0426630005
102;0.0426630005
103;0.0426630005
104;0.0426630005
105;0.0426630005
106;0.0426630005
107;0.0426630005
108;0.0426630005
109;0.0426630005
110;0.0426630005
111;0.0426630005
112;0.0426630005
113;0.0426630005
114;0.0426630005
115;0.0426630005
116;0.0426630005
117;0.0426630005
118;0.0426630005
119;0.0426630005
120;0.0426630005
121;0.0426630005
122;0.0426630005
123;0.0426630005
124;0.0426630005
125;0.0426729172
126;0.0426729172
127;0.0426729172
128;0.0426729172
129;0.0426729172
130;0.0426729172
131;0.0426729172
132;0.0426729172
133;0.0426729172
134;0.0426729172
135;0.0426729172
136;0.0426729172
137;0.0426729172
138;0.0426782668
139;0.0426782668
140;0.0426782668
141;0.0426782668
142;0.0426782668
143;0.0426782668
144;0.0426782668
145;0.0426782668
146;0.0426782668
147;0.0426782668
148;0.0426782668
149;0.0426782668
150;0.0426782668
151;0.0426782668
152;0.0426782668
153;0.0426782668
154;0.0426782668
155;0.0426782668
156;0.0426782668
157;0.0426782668
158;0.0426782668
159;0.0426782668
160;0.0426782668
161;0.0426782668
162;0.0426782668
163;0.0426782668
164;0.0426782668
165;0.0426782668
166;0.0426782668
167;0.0426782668
168;0.0426782668
169;0.0426782668
170;0.0427008793
171;0.0427008793
172;0.0427008793
173;0.0427008793
174;0.0427008793
175;0.0427008793
176;0.0427008793
177;0.0427008793
178;0.0427008793
179;0.0427008793
180;0.0427008793
181;0.0427008793
182;0.0427008793
183;0.0427061319
184;0.0427061319
185;0.0427061319
186;0.0427061319
187;0.0427061319
188;0.0427061319
189;0.0427061319
190;0.0427061319
191;0.0427061319
192;0.0427061319
193;0.0427061319
194;0.0427061319
195;0.0427061319
196;0.0427061319
197;0.0427061319
198;0.0427061319
199;0.0427061319
200;0.0427061319
