Generación;Mejor Fitness
1;0.0416128747
2;0.0416128747
3;0.0416128747
4;0.0416128747
5;0.0416139588
6;0.0416139588
7;0.0416867658
8;0.0417209491
9;0.0417209491
10;0.0417209491
11;0.0417209491
12;0.0417218097
13;0.0417436175
14;0.0417436175
15;0.0417512655
16;0.0417660549
17;0.0417668261
18;0.0417710468
19;0.0417710468
20;0.0418028496
21;0.0418028496
22;0.0418029316
23;0.0418154597
24;0.0418154597
25;0.0418154597
26;0.0418181196
27;0.0418181196
28;0.0418204404
29;0.0418204404
30;0.0418214686
31;0.0418214686
32;0.0418214686
33;0.0418288782
34;0.0418288782
35;0.0418288782
36;0.0418288782
37;0.0418288782
38;0.0418288782
39;0.0418288782
40;0.0418329723
41;0.0418329723
42;0.0418329723
43;0.0418329723
44;0.0418329723
45;0.0418329723
46;0.0418661125
47;0.0418661125
48;0.0418661125
49;0.0418661125
50;0.0418693535
51;0.0418780036
52;0.0418780036
53;0.0418780036
54;0.0419019796
55;0.0419019796
56;0.0419019796
57;0.0419019796
58;0.0419020168
59;0.0419020168
60;0.0419020168
61;0.0419070460
62;0.0419070460
63;0.0419434905
64;0.0419434905
65;0.0419434905
66;0.0419434905
67;0.0419434905
68;0.0419544652
69;0.0419615731
70;0.0419615731
71;0.0419844761
72;0.0419844761
73;0.0420037322
74;0.0420037322
75;0.0420037322
76;0.0420037322
77;0.0420037322
78;0.0420059524
79;0.0420059524
80;0.0420316197
81;0.0420455635
82;0.0420455635
83;0.0420622714
84;0.0420642905
85;0.0420642905
86;0.0420642905
87;0.0420920476
88;0.0420808010
89;0.0420808010
90;0.0420808010
91;0.0420808010
92;0.0420808010
93;0.0420811661
94;0.0420811661
95;0.0420858674
96;0.0420858674
97;0.0420912169
98;0.0420931503
99;0.0420931503
100;0.0420990698
101;0.0421470031
102;0.0421470031
103;0.0421470031
104;0.0421470031
105;0.0421470031
106;0.0421470031
107;0.0421470031
108;0.0421470031
109;0.0421470031
110;0.0421470031
111;0.0421470031
112;0.0421470031
113;0.0421480872
114;0.0421480872
115;0.0421480872
116;0.0421565995
117;0.0421713479
118;0.0421713479
119;0.0421713479
120;0.0421838760
121;0.0421838760
122;0.0421838760
123;0.0421838760
124;0.0421838760
125;0.0421838760
126;0.0421838760
127;0.0421838760
128;0.0421867408
129;0.0421867408
130;0.0421867520
131;0.0421867520
132;0.0421923660
133;0.0421923660
134;0.0421952456
135;0.0422105603
136;0.0422105603
137;0.0422105603
138;0.0422153957
139;0.0422153957
140;0.0422153957
141;0.0422153957
142;0.0422153957
143;0.0422153957
144;0.0422153957
145;0.0422153957
146;0.0422153957
147;0.0422153957
148;0.0422153957
149;0.0422154292
150;0.0422154292
151;0.0422192477
152;0.0422192477
153;0.0422206223
154;0.0422206223
155;0.0422206223
156;0.0422222391
157;0.0422222391
158;0.0422222391
159;0.0422222391
160;0.0422222391
161;0.0422222391
162;0.0422222391
163;0.0422222391
164;0.0422222391
165;0.0422235467
166;0.0422235467
167;0.0422235467
168;0.0422360525
169;0.0422360525
170;0.0422360525
171;0.0422360525
172;0.0422360525
173;0.0422360525
174;0.0422360525
175;0.0422360525
176;0.0422360525
177;0.0422395766
178;0.0422395766
179;0.0422395766
180;0.0422395766
181;0.0422395766
182;0.0422542989
183;0.0422542989
184;0.0422542989
185;0.0422542989
186;0.0422542989
187;0.0422542989
188;0.0422609821
189;0.0422609821
190;0.0422609821
191;0.0422623008
192;0.0422623008
193;0.0422623008
194;0.0422623008
195;0.0422623008
196;0.0422623008
197;0.0422623008
198;0.0422623008
199;0.0422639512
200;0.0422639512
