Generación;Mejor Fitness
1;0.0418272577
2;0.0418668576
3;0.0420953222
4;0.0420953222
5;0.0420953222
6;0.0420953222
7;0.0421128869
8;0.0421991833
9;0.0421991833
10;0.0422179028
11;0.0422179028
12;0.0422179028
13;0.0422186665
14;0.0422333293
15;0.0422336534
16;0.0422931872
17;0.0422931872
18;0.0422603153
19;0.0423388183
20;0.0423388183
21;0.0423720106
22;0.0423720106
23;0.0423739888
24;0.0423747152
25;0.0424259603
26;0.0424259603
27;0.0425172709
28;0.0425172709
29;0.0425261781
30;0.0425262116
31;0.0425392203
32;0.0425520092
33;0.0425520092
34;0.0425520092
35;0.0425575152
36;0.0426182263
37;0.0426182263
38;0.0427348912
39;0.0427348912
40;0.0427624509
41;0.0427624509
42;0.0427624509
43;0.0427805893
44;0.0427892767
45;0.0428239629
46;0.0428239629
47;0.0428239629
48;0.0428282619
49;0.0428364947
50;0.0428364947
51;0.0428402685
52;0.0428457633
53;0.0428471863
54;0.0428516045
55;0.0428527892
56;0.0428593196
57;0.0428601168
58;0.0428601168
59;0.0428647548
60;0.0428647548
61;0.0428904556
62;0.0429136418
63;0.0429136418
64;0.0429174006
65;0.0429189801
66;0.0430055261
67;0.0430055261
68;0.0430055261
69;0.0430158526
70;0.0430158526
71;0.0430200808
72;0.0430200808
73;0.0430340059
74;0.0430340059
75;0.0430376716
76;0.0430376716
77;0.0430594943
78;0.0430390239
79;0.0430396535
80;0.0430591367
81;0.0430591367
82;0.0430754609
83;0.0430754609
84;0.0430878699
85;0.0430904627
86;0.0430904627
87;0.0430904627
88;0.0430954620
89;0.0431054048
90;0.0431054048
91;0.0431066975
92;0.0431066975
93;0.0431066975
94;0.0431334339
95;0.0431334339
96;0.0431334339
97;0.0431334339
98;0.0431578532
99;0.0431829169
100;0.0431829169
101;0.0431829169
102;0.0431842431
103;0.0432244428
104;0.0432258397
105;0.0432258397
106;0.0432948917
107;0.0432948917
108;0.0432948917
109;0.0432948917
110;0.0432966873
111;0.0432966873
112;0.0432992503
113;0.0432992503
114;0.0433034413
115;0.0433034413
116;0.0433357060
117;0.0433357060
118;0.0433620214
119;0.0433620214
120;0.0433620214
121;0.0433620214
122;0.0433621071
123;0.0433648303
124;0.0433648303
125;0.0433648303
126;0.0433705039
127;0.0433705039
128;0.0433705039
129;0.0433711372
130;0.0433711372
131;0.0433871187
132;0.0433938727
133;0.0434455723
134;0.0434455723
135;0.0434504114
136;0.0434458368
137;0.0434458368
138;0.0434458368
139;0.0434574187
140;0.0434805714
141;0.0434582978
142;0.0435274877
143;0.0435274877
144;0.0435274877
145;0.0435405523
146;0.0435405523
147;0.0435405523
148;0.0435405523
149;0.0435576104
150;0.0435576104
151;0.0435576104
152;0.0435781628
153;0.0435781628
154;0.0435781628
155;0.0435781628
156;0.0435790308
157;0.0435836203
158;0.0436032452
159;0.0436103046
160;0.0436103046
161;0.0436261036
162;0.0436261036
163;0.0436261036
164;0.0436268896
165;0.0436268896
166;0.0436268896
167;0.0436272807
168;0.0436319113
169;0.0436319113
170;0.0436345935
171;0.0436549112
172;0.0436553471
173;0.0436553471
174;0.0436595902
175;0.0436595902
176;0.0436751395
177;0.0436751395
178;0.0436751395
179;0.0436882377
180;0.0436882377
181;0.0436909273
182;0.0436909273
183;0.0436909273
184;0.0437031910
185;0.0437027626
186;0.0437027626
187;0.0437027626
188;0.0437199175
189;0.0437199175
190;0.0437199175
191;0.0437086858
192;0.0437130108
193;0.0437130108
194;0.0437130108
195;0.0437130108
196;0.0437130108
197;0.0437650084
198;0.0437650084
199;0.0437776446
200;0.0437821485
