Generación;Mejor Fitness
1;0.0415006615
2;0.0415006615
3;0.0415006615
4;0.0417518727
5;0.0417518727
6;0.0417518727
7;0.0417518727
8;0.0417577848
9;0.0417718515
10;0.0418376550
11;0.0417919196
12;0.0417967550
13;0.0418042690
14;0.0418125875
15;0.0418513343
16;0.0418689437
17;0.0418689437
18;0.0418774113
19;0.0418774113
20;0.0419302173
21;0.0419302173
22;0.0419302173
23;0.0419302173
24;0.0419302173
25;0.0419302173
26;0.0419629440
27;0.0419748984
28;0.0419748984
29;0.0420082435
30;0.0420082435
31;0.0420082435
32;0.0420082435
33;0.0420308188
34;0.0420308188
35;0.0420495942
36;0.0420495942
37;0.0420688242
38;0.0420688242
39;0.0420688242
40;0.0420688242
41;0.0420688242
42;0.0420728736
43;0.0420728736
44;0.0420728736
45;0.0420728736
46;0.0420728736
47;0.0420728922
48;0.0420728922
49;0.0420948491
50;0.0420970023
51;0.0420970023
52;0.0421006940
53;0.0421006940
54;0.0421154164
55;0.0421188660
56;0.0421188660
57;0.0421306305
58;0.0421701223
59;0.0421701223
60;0.0421701223
61;0.0421701223
62;0.0421937332
63;0.0422206633
64;0.0422206633
65;0.0422206633
66;0.0422772169
67;0.0422772169
68;0.0422772169
69;0.0422772169
70;0.0422772169
71;0.0423221029
72;0.0423221029
73;0.0423242077
74;0.0423242077
75;0.0423242077
76;0.0423328057
77;0.0423328057
78;0.0423328057
79;0.0423328057
80;0.0423328057
81;0.0423328057
82;0.0423328057
83;0.0423328057
84;0.0423341878
85;0.0423341878
86;0.0423341878
87;0.0423435718
88;0.0423824117
89;0.0423824117
90;0.0423824117
91;0.0423879176
92;0.0423879176
93;0.0423886515
94;0.0423951484
95;0.0423951484
96;0.0423951484
97;0.0424014740
98;0.0424014740
99;0.0424014740
100;0.0424370803
101;0.0424458198
102;0.0424458198
103;0.0424458198
104;0.0424458198
105;0.0424458198
106;0.0424458198
107;0.0424458198
108;0.0424458198
109;0.0424458198
110;0.0424458198
111;0.0424458198
112;0.0424458198
113;0.0424669608
114;0.0424669608
115;0.0424669608
116;0.0424669608
117;0.0426175296
118;0.0426175296
119;0.0426175296
120;0.0426175296
121;0.0426175296
122;0.0426191315
123;0.0426376276
124;0.0426376276
125;0.0426376276
126;0.0426376276
127;0.0426376276
128;0.0426376276
129;0.0426376276
130;0.0426376276
131;0.0426376276
132;0.0426376276
133;0.0426376276
134;0.0426376276
135;0.0426376276
136;0.0426376276
137;0.0426376276
138;0.0426376276
139;0.0426376276
140;0.0426376276
141;0.0426377840
142;0.0426379032
143;0.0426377840
144;0.0426377840
145;0.0426377840
146;0.0426377840
147;0.0426377840
148;0.0426377840
149;0.0426758081
150;0.0426758081
151;0.0426944643
152;0.0426944643
153;0.0426944643
154;0.0426944643
155;0.0427027903
156;0.0427027903
157;0.0427027903
158;0.0427027903
159;0.0427027903
160;0.0427027903
161;0.0427027903
162;0.0427027903
163;0.0427027903
164;0.0427027903
165;0.0427027903
166;0.0427027903
167;0.0427027903
168;0.0427027903
169;0.0427027903
170;0.0427027903
171;0.0427027903
172;0.0427353866
173;0.0427353866
174;0.0427353866
175;0.0427353866
176;0.0427365862
177;0.0427365862
178;0.0427365862
179;0.0427479967
180;0.0427479967
181;0.0427479967
182;0.0427479967
183;0.0427479967
184;0.0427479967
185;0.0427479967
186;0.0427479967
187;0.0427479967
188;0.0427483022
189;0.0427708477
190;0.0427708477
191;0.0427759551
192;0.0427759551
193;0.0427759551
194;0.0427759551
195;0.0427759551
196;0.0427759551
197;0.0427759551
198;0.0427759551
199;0.0427759551
200;0.0427767858
