Generación;Mejor Fitness
1;0.0415755473
2;0.0415755473
3;0.0415755473
4;0.0415755473
5;0.0416052490
6;0.0416052490
7;0.0416052490
8;0.0416412987
9;0.0416412987
10;0.0416877493
11;0.0416877493
12;0.0416877493
13;0.0416717567
14;0.0416717567
15;0.0416955985
16;0.0416955985
17;0.0416955985
18;0.0416955985
19;0.0417522527
20;0.0417522527
21;0.0417849012
22;0.0417849012
23;0.0417849012
24;0.0417849012
25;0.0417849012
26;0.0417868868
27;0.0417868868
28;0.0418092348
29;0.0418244861
30;0.0418244861
31;0.0418244861
32;0.0418244861
33;0.0418244861
34;0.0419421792
35;0.0419421792
36;0.0419422798
37;0.0419422798
38;0.0419746935
39;0.0419746935
40;0.0419746935
41;0.0419746935
42;0.0419746935
43;0.0419746935
44;0.0419746935
45;0.0419746935
46;0.0419746935
47;0.0419746935
48;0.0419746935
49;0.0419746935
50;0.0419746935
51;0.0419746935
52;0.0419746935
53;0.0419746935
54;0.0419746935
55;0.0419746935
56;0.0419746935
57;0.0419746935
58;0.0419746935
59;0.0419746935
60;0.0419746935
61;0.0419746935
62;0.0419746935
63;0.0419746935
64;0.0419746935
65;0.0419746935
66;0.0419746935
67;0.0420381017
68;0.0420381017
69;0.0420613922
70;0.0420613922
71;0.0420613922
72;0.0421281345
73;0.0421281345
74;0.0421281345
75;0.0421281345
76;0.0421281345
77;0.0421281345
78;0.0421281345
79;0.0421317630
80;0.0421401262
81;0.0421401262
82;0.0421401262
83;0.0421401262
84;0.0421401262
85;0.0421401262
86;0.0421401262
87;0.0421401262
88;0.0421401262
89;0.0421401262
90;0.0421401262
91;0.0421401262
92;0.0421401262
93;0.0421401262
94;0.0421401262
95;0.0421401262
96;0.0421401262
97;0.0421401262
98;0.0421401262
99;0.0421401262
100;0.0421401262
101;0.0421401262
102;0.0421401262
103;0.0421401262
104;0.0421401262
105;0.0421401262
106;0.0421401262
107;0.0421401262
108;0.0421401262
109;0.0421401262
110;0.0421401262
111;0.0421401262
112;0.0421401262
113;0.0421463288
114;0.0421463288
115;0.0421463288
116;0.0421463288
117;0.0421463288
118;0.0421463288
119;0.0421463288
120;0.0421469584
121;0.0421703607
122;0.0421703607
123;0.0421703607
124;0.0421703607
125;0.0421703607
126;0.0421703607
127;0.0421703607
128;0.0421703607
129;0.0421703607
130;0.0421703607
131;0.0421703607
132;0.0421703607
133;0.0422161445
134;0.0422161445
135;0.0422161445
136;0.0422161445
137;0.0422161445
138;0.0422161445
139;0.0422161445
140;0.0422161445
141;0.0422161445
142;0.0422161445
143;0.0422161445
144;0.0422161445
145;0.0422161445
146;0.0422163717
147;0.0422163717
148;0.0422163717
149;0.0422163717
150;0.0422165580
151;0.0422165580
152;0.0422165580
153;0.0422165580
154;0.0422179662
155;0.0422179662
156;0.0422179662
157;0.0422179662
158;0.0422179662
159;0.0422179662
160;0.0422179662
161;0.0422179662
162;0.0422179662
163;0.0422179662
164;0.0422179662
165;0.0422179662
166;0.0422179662
167;0.0422179662
168;0.0422179662
169;0.0422179662
170;0.0422179662
171;0.0422179662
172;0.0422179662
173;0.0422179662
174;0.0422179662
175;0.0422179662
176;0.0422179662
177;0.0422179662
178;0.0422179662
179;0.0422179662
180;0.0422179662
181;0.0422179662
182;0.0422179662
183;0.0422179662
184;0.0422179662
185;0.0422179662
186;0.0422179662
187;0.0422179662
188;0.0422179662
189;0.0422179662
190;0.0422179662
191;0.0422241502
192;0.0422241502
193;0.0422241502
194;0.0422241502
195;0.0422241502
196;0.0422241502
197;0.0422241502
198;0.0422241502
199;0.0422241502
200;0.0422241502
