Generación;Mejor Fitness
1;0.0416222699
2;0.0416376479
3;0.0416376479
4;0.0416376479
5;0.0416728146
6;0.0418251194
7;0.0418251194
8;0.0418283492
9;0.0419444367
10;0.0419444367
11;0.0419444367
12;0.0420144349
13;0.0420175456
14;0.0421499461
15;0.0420202762
16;0.0421263054
17;0.0421263054
18;0.0421263054
19;0.0421263054
20;0.0421414860
21;0.0421414860
22;0.0421414860
23;0.0421503708
24;0.0422749594
25;0.0422872156
26;0.0423502587
27;0.0423502587
28;0.0423502587
29;0.0424226113
30;0.0424820185
31;0.0424820185
32;0.0424820185
33;0.0424820185
34;0.0424952284
35;0.0426293127
36;0.0426293127
37;0.0426293127
38;0.0426293127
39;0.0426497199
40;0.0426497199
41;0.0426497199
42;0.0428507328
43;0.0428640582
44;0.0428640582
45;0.0428788774
46;0.0428907610
47;0.0429000258
48;0.0429000258
49;0.0429000258
50;0.0429000258
51;0.0429000258
52;0.0429000258
53;0.0429043658
54;0.0429444499
55;0.0429444499
56;0.0429518521
57;0.0429518521
58;0.0429518521
59;0.0429518521
60;0.0429547802
61;0.0429547802
62;0.0430236869
63;0.0430237167
64;0.0430237167
65;0.0430267453
66;0.0430534035
67;0.0430534035
68;0.0430534035
69;0.0431067161
70;0.0431067161
71;0.0431067161
72;0.0431067161
73;0.0431181118
74;0.0431182161
75;0.0431182161
76;0.0431486033
77;0.0431486033
78;0.0431497842
79;0.0431622714
80;0.0432785675
81;0.0432785675
82;0.0433071330
83;0.0433282554
84;0.0433282554
85;0.0433519036
86;0.0433519036
87;0.0433519036
88;0.0433519036
89;0.0433753580
90;0.0433753580
91;0.0433808379
92;0.0433808379
93;0.0433808379
94;0.0433847234
95;0.0434303917
96;0.0434303917
97;0.0434307940
98;0.0434303917
99;0.0434303917
100;0.0434355848
101;0.0434387177
102;0.0434387177
103;0.0434436873
104;0.0434436873
105;0.0434512794
106;0.0434636101
107;0.0434770510
108;0.0434770510
109;0.0434786268
110;0.0434786268
111;0.0434786268
112;0.0434881710
113;0.0434976518
114;0.0434976518
115;0.0434976518
116;0.0434976518
117;0.0435040817
118;0.0435443148
119;0.0435443148
120;0.0435443148
121;0.0435988158
122;0.0435988158
123;0.0435988158
124;0.0436354578
125;0.0436354578
126;0.0436354578
127;0.0436354578
128;0.0436354578
129;0.0436354578
130;0.0436354578
131;0.0436377525
132;0.0436377525
133;0.0436657481
134;0.0436657481
135;0.0436657481
136;0.0436657481
137;0.0436657481
138;0.0436862074
139;0.0436862074
140;0.0436932743
141;0.0436932743
142;0.0436932743
143;0.0437187329
144;0.0437187329
145;0.0437237285
146;0.0437237285
147;0.0437237285
148;0.0437316149
149;0.0437316149
150;0.0437316149
151;0.0437335782
152;0.0437466614
153;0.0437466614
154;0.0437466614
155;0.0437466614
156;0.0437466614
157;0.0437466614
158;0.0437478907
159;0.0437478907
160;0.0437517837
161;0.0439687558
162;0.0439687558
163;0.0439687558
164;0.0439701490
165;0.0439790338
166;0.0439790338
167;0.0440066084
168;0.0440066084
169;0.0440066084
170;0.0440265536
171;0.0440265536
172;0.0440265536
173;0.0440265536
174;0.0440265536
175;0.0440265536
176;0.0441590548
177;0.0441590548
178;0.0441590548
179;0.0441590548
180;0.0441667549
181;0.0441667549
182;0.0441671163
183;0.0441671163
184;0.0441837721
185;0.0441837721
186;0.0441837721
187;0.0442860574
188;0.0442860574
189;0.0442860574
190;0.0442860574
191;0.0442899838
192;0.0443147123
193;0.0443147123
194;0.0443147123
195;0.0443150289
196;0.0443150289
197;0.0443150289
198;0.0443150289
199;0.0443358272
200;0.0443358272
