Generación;Mejor Fitness
1;0.0414540358
2;0.0416055471
3;0.0416055471
4;0.0416055471
5;0.0416055471
6;0.0416511111
7;0.0416842774
8;0.0416842774
9;0.0417401008
10;0.0417401008
11;0.0417401008
12;0.0417406671
13;0.0417804234
14;0.0417804234
15;0.0418270417
16;0.0418542325
17;0.0418542325
18;0.0418542325
19;0.0418542325
20;0.0418672264
21;0.0418672264
22;0.0418928452
23;0.0418928452
24;0.0418932997
25;0.0418932997
26;0.0418932997
27;0.0418932997
28;0.0418933146
29;0.0418933146
30;0.0418933928
31;0.0419399291
32;0.0419399291
33;0.0419399291
34;0.0419649594
35;0.0419869050
36;0.0420177020
37;0.0420198441
38;0.0420198441
39;0.0420198441
40;0.0420236066
41;0.0420236066
42;0.0420236066
43;0.0420237631
44;0.0420322604
45;0.0420369692
46;0.0420369692
47;0.0420513302
48;0.0420513302
49;0.0420513302
50;0.0420513302
51;0.0420521982
52;0.0420701131
53;0.0420735739
54;0.0420924835
55;0.0420924835
56;0.0420924835
57;0.0420924835
58;0.0420924835
59;0.0420924835
60;0.0420924835
61;0.0420926027
62;0.0421012864
63;0.0421012864
64;0.0421012864
65;0.0421115011
66;0.0421115011
67;0.0421115011
68;0.0421214029
69;0.0421362706
70;0.0421448760
71;0.0421448760
72;0.0421448760
73;0.0421645269
74;0.0421721749
75;0.0421721749
76;0.0421741605
77;0.0421741605
78;0.0421741605
79;0.0421802066
80;0.0421802066
81;0.0421802066
82;0.0421825796
83;0.0421825796
84;0.0421825796
85;0.0421825796
86;0.0421848223
87;0.0421886779
88;0.0421886779
89;0.0421886779
90;0.0421886779
91;0.0421886779
92;0.0421886779
93;0.0421886779
94;0.0421886779
95;0.0421886779
96;0.0421886779
97;0.0421940088
98;0.0421940088
99;0.0421940088
100;0.0421940088
101;0.0421952307
102;0.0421952307
103;0.0421952307
104;0.0421952307
105;0.0421962403
106;0.0421962403
107;0.0422135852
108;0.0422135852
109;0.0422135852
110;0.0422135852
111;0.0422135852
112;0.0422135852
113;0.0422135852
114;0.0422135852
115;0.0422135852
116;0.0422424860
117;0.0422289409
118;0.0422340930
119;0.0422340930
120;0.0422387756
121;0.0422946811
122;0.0422946811
123;0.0422946811
124;0.0422962755
125;0.0423421375
126;0.0423421375
127;0.0423421375
128;0.0423421375
129;0.0423421375
130;0.0423421375
131;0.0423421375
132;0.0423421375
133;0.0423495136
134;0.0423513278
135;0.0423624292
136;0.0423630811
137;0.0423926823
138;0.0423926823
139;0.0423926823
140;0.0423926823
141;0.0423926823
142;0.0423926823
143;0.0424147993
144;0.0424147993
145;0.0424147993
146;0.0424147993
147;0.0424147993
148;0.0424147993
149;0.0424147993
150;0.0424378961
151;0.0424378961
152;0.0424498133
153;0.0424498133
154;0.0424498133
155;0.0424553081
156;0.0424553081
157;0.0424553081
158;0.0424553081
159;0.0424553081
160;0.0424576327
161;0.0424576327
162;0.0424576327
163;0.0424576327
164;0.0424576327
165;0.0424576327
166;0.0424576327
167;0.0424711592
168;0.0424711592
169;0.0424711592
170;0.0424908362
171;0.0424908362
172;0.0424908362
173;0.0424908362
174;0.0424908362
175;0.0424908362
176;0.0425139256
177;0.0425139256
178;0.0425139256
179;0.0425139256
180;0.0425139256
181;0.0425139256
182;0.0425139256
183;0.0425139256
184;0.0425139256
185;0.0425139256
186;0.0425139256
187;0.0425139256
188;0.0425139256
189;0.0425139256
190;0.0425139256
191;0.0425139256
192;0.0425200351
193;0.0425200351
194;0.0425200351
195;0.0425200351
196;0.0425200351
197;0.0425200351
198;0.0425200351
199;0.0425200351
200;0.0425377078
