Generación;Mejor Fitness
1;0.0459812470
2;0.0459891818
3;0.0460101739
4;0.0460478924
5;0.0460637696
6;0.0461498126
7;0.0462060608
8;0.0462563746
9;0.0462896898
10;0.0463283472
11;0.0463478155
12;0.0463593677
13;0.0464209542
14;0.0464434363
15;0.0464757681
16;0.0464794338
17;0.0465471521
18;0.0465716273
19;0.0465944372
20;0.0466201752
21;0.0466394760
22;0.0466629006
23;0.0467110761
24;0.0467532054
25;0.0467606299
26;0.0467834286
27;0.0468227863
28;0.0468465835
29;0.0469594300
30;0.0469645970
31;0.0469910614
32;0.0470043384
33;0.0470074117
34;0.0470562391
35;0.0470946021
36;0.0471195169
37;0.0471244529
38;0.0471320786
39;0.0471490361
40;0.0471708402
41;0.0471854582
42;0.0472305194
43;0.0472649820
44;0.0472917445
45;0.0473099388
46;0.0473225713
47;0.0473419167
48;0.0473644324
49;0.0473898947
50;0.0473957583
51;0.0474049561
52;0.0474466234
53;0.0474533699
54;0.0474591441
55;0.0474667512
56;0.0474776663
57;0.0474987067
58;0.0475260988
59;0.0475317687
60;0.0475387275
61;0.0475537106
62;0.0475581959
63;0.0476469807
64;0.0476632938
65;0.0476657562
66;0.0477056280
67;0.0477182604
68;0.0477220342
69;0.0477357954
70;0.0477366671
71;0.0477401018
72;0.0477433912
73;0.0477821380
74;0.0477854498
75;0.0477988087
76;0.0478356332
77;0.0478474982
78;0.0480888002
79;0.0481105410
80;0.0481462516
81;0.0481771380
82;0.0481894016
83;0.0481946990
84;0.0482926592
85;0.0483130105
86;0.0483237989
87;0.0483392365
88;0.0483711660
89;0.0483907498
90;0.0484119952
91;0.0484173670
92;0.0484836362
93;0.0485279523
94;0.0485363975
95;0.0485399216
96;0.0486023873
97;0.0486794561
98;0.0486800931
99;0.0486904532
100;0.0486906841
101;0.0487083942
102;0.0487089157
103;0.0487105362
104;0.0487105399
105;0.0487108827
106;0.0487138741
107;0.0487421639
108;0.0487450361
109;0.0487742648
110;0.0487792492
111;0.0487795360
112;0.0487992615
113;0.0488004610
114;0.0488004610
115;0.0488020144
116;0.0488087535
117;0.0488132499
118;0.0488392338
119;0.0488400348
120;0.0488407910
121;0.0488556437
122;0.0488562100
123;0.0488584898
124;0.0488622896
125;0.0488652028
126;0.0488665886
127;0.0488696843
128;0.0488712862
129;0.0488737449
130;0.0488757715
131;0.0489156730
132;0.0489169024
133;0.0489176922
134;0.0489534177
135;0.0489536747
136;0.0489896238
137;0.0489965826
138;0.0490022637
139;0.0490048043
140;0.0490085557
141;0.0490328595
142;0.0491740778
143;0.0492742397
144;0.0492831133
145;0.0492852107
146;0.0492976420
147;0.0493103117
148;0.0493175127
149;0.0493192151
150;0.0493259132
151;0.0493262932
152;0.0493281744
153;0.0493281744
154;0.0493281744
155;0.0493304245
156;0.0493319519
157;0.0493322089
158;0.0493326895
159;0.0493326895
160;0.0493430309
161;0.0493518934
162;0.0493563116
163;0.0493563116
164;0.0493563972
165;0.0493692532
166;0.0493712686
167;0.0493729264
168;0.0493789688
169;0.0493855365
170;0.0493911020
171;0.0494028777
172;0.0494028777
173;0.0494034104
174;0.0494238436
175;0.0494438559
176;0.0494438559
177;0.0494518466
178;0.0494582094
179;0.0494609512
180;0.0494671836
181;0.0494672544
182;0.0494687334
183;0.0494687334
184;0.0494768098
185;0.0494906567
186;0.0494991243
187;0.0495038591
188;0.0495167933
189;0.0495262071
190;0.0495376550
191;0.0495377183
192;0.0495379530
193;0.0495414250
194;0.0495414250
195;0.0495445915
196;0.0495445915
197;0.0495452993
198;0.0495625585
199;0.0495635197
200;0.0495653674
201;0.0495653674
202;0.0495682992
203;0.0495683551
204;0.0495684668
205;0.0495725013
206;0.0495831631
207;0.0495855547
208;0.0495877415
209;0.0495877415
210;0.0495891459
211;0.0495919175
212;0.0496390946
213;0.0496517010
214;0.0496857837
