Generación;Mejor Fitness
1;0.0420773476
2;0.0420773476
3;0.0420773476
4;0.0420773476
5;0.0420427062
6;0.0420427062
7;0.0420427062
8;0.0420427062
9;0.0420542248
10;0.0420542248
11;0.0421079919
12;0.0421079919
13;0.0421042778
14;0.0421042778
15;0.0421042778
16;0.0420971848
17;0.0420638025
18;0.0420638025
19;0.0420427062
20;0.0420638025
21;0.0420638025
22;0.0420638025
23;0.0420638025
24;0.0420638025
25;0.0420638025
26;0.0420638025
27;0.0420638025
28;0.0420638025
29;0.0420638025
30;0.0420940332
31;0.0420940332
32;0.0420940332
33;0.0420940332
34;0.0420940332
35;0.0420940332
36;0.0420940332
37;0.0420940332
38;0.0420940332
39;0.0420940332
40;0.0420940332
41;0.0420823544
42;0.0420752764
43;0.0420752764
44;0.0420752764
45;0.0421890430
46;0.0421890430
47;0.0421890430
48;0.0422285311
49;0.0422285311
50;0.0422285311
51;0.0422382429
52;0.0422268175
53;0.0421691649
54;0.0421691649
55;0.0420688018
56;0.0420831218
57;0.0420857854
58;0.0420857854
59;0.0420831218
60;0.0420541503
61;0.0420677550
62;0.0420677550
63;0.0420677550
64;0.0420541503
65;0.0420978628
66;0.0420978628
67;0.0420978628
68;0.0420978628
69;0.0420541503
70;0.0420541503
71;0.0420816951
72;0.0420816951
73;0.0420816951
74;0.0420816951
75;0.0420659892
76;0.0421297252
77;0.0420724861
78;0.0420724861
79;0.0420724861
80;0.0420724861
81;0.0420859717
82;0.0420812331
83;0.0420812331
84;0.0420812331
85;0.0420659892
86;0.0420659892
87;0.0420659892
88;0.0420767367
89;0.0420826450
90;0.0420826450
91;0.0420826450
92;0.0420308039
93;0.0420308039
94;0.0420145541
95;0.0420057215
96;0.0420159921
97;0.0420055911
98;0.0420055911
99;0.0420055911
100;0.0420229658
101;0.0420040451
102;0.0420040451
103;0.0419928096
104;0.0419928096
105;0.0419928096
106;0.0419507399
107;0.0419602953
108;0.0419849344
109;0.0420321599
110;0.0419849344
111;0.0419849344
112;0.0419849344
113;0.0419849344
114;0.0419849344
115;0.0419461876
116;0.0419917814
117;0.0420111343
118;0.0420111343
119;0.0420111343
120;0.0420111343
121;0.0420138165
122;0.0420138165
123;0.0420437492
124;0.0420292243
125;0.0420292243
126;0.0420292243
127;0.0420356728
128;0.0420342535
129;0.0420342535
130;0.0420342535
131;0.0420342535
132;0.0420885012
133;0.0420342535
134;0.0420683324
135;0.0420683324
136;0.0420364849
137;0.0420364849
138;0.0420364849
139;0.0420497954
140;0.0420364849
141;0.0420184508
142;0.0420117788
143;0.0420637764
144;0.0420637913
145;0.0420637913
146;0.0420637913
147;0.0420637913
148;0.0420637913
149;0.0420637913
150;0.0420637913
151;0.0420637913
152;0.0420637913
153;0.0420637913
154;0.0420637913
155;0.0420637913
156;0.0419785865
157;0.0419785865
158;0.0419785865
159;0.0419785865
160;0.0419785865
161;0.0419785865
162;0.0419785865
163;0.0419785865
164;0.0420370251
165;0.0420370251
166;0.0420651138
167;0.0420651138
168;0.0420370251
169;0.0420370251
170;0.0420370251
171;0.0420370251
172;0.0420370251
173;0.0419656485
174;0.0419740789
175;0.0419656485
176;0.0419656485
177;0.0419656485
178;0.0419959128
179;0.0419959128
180;0.0419959128
181;0.0420132801
182;0.0420132801
183;0.0420132801
184;0.0420132801
185;0.0419531055
186;0.0419507883
187;0.0419370085
188;0.0419370085
189;0.0419227891
190;0.0419355109
191;0.0419355109
192;0.0419181883
193;0.0419087335
194;0.0419556014
195;0.0419066213
196;0.0419241078
197;0.0419012643
198;0.0419012643
199;0.0419338383
200;0.0419019684
201;0.0419221222
202;0.0419221222
203;0.0419221222
204;0.0419449098
205;0.0419636108
206;0.0419636108
207;0.0419486761
208;0.0419603623
209;0.0419275276
210;0.0419275276
211;0.0419275276
212;0.0419573709
213;0.0419537351
214;0.0419370383
215;0.0419370383
216;0.0419370383
217;0.0419698469
218;0.0419385694
219;0.0419370383
220;0.0419825688
221;0.0419462435
222;0.0419462435
223;0.0419462435
224;0.0419462435
225;0.0419462435
226;0.0419462435
227;0.0419455767
228;0.0419455767
229;0.0419181511
230;0.0419181511
231;0.0419344939
232;0.0419355929
233;0.0419337563
234;0.0419337563
235;0.0419337563
236;0.0419337563
237;0.0419337563
238;0.0419337563
239;0.0419337563
240;0.0419337563
241;0.0419337563
242;0.0419337563
243;0.0419601277
244;0.0419601277
245;0.0419601277
246;0.0419601277
247;0.0419601277
248;0.0419601277
249;0.0419963375
250;0.0419963375
251;0.0419057421
252;0.0419075377
253;0.0419362038
254;0.0419362038
255;0.0419075377
256;0.0419116169
257;0.0419116169
258;0.0419075377
259;0.0420198329
260;0.0420198329
261;0.0420174971
262;0.0420174971
263;0.0420174971
264;0.0420174971
265;0.0419438258
266;0.0419438258
267;0.0419438258
268;0.0419540405
269;0.0419540405
270;0.0419540405
271;0.0419540405
272;0.0419540405
273;0.0419569388
274;0.0419569388
275;0.0419569388
276;0.0419655554
277;0.0419655554
278;0.0419753566
279;0.0419655554
280;0.0419655554
281;0.0419655554
282;0.0419606976
283;0.0419606976
284;0.0419756770
285;0.0419756770
286;0.0419756770
287;0.0419756770
288;0.0420087166
289;0.0420087166
290;0.0420087166
291;0.0420087166
292;0.0420087166
293;0.0420769751
294;0.0420769751
295;0.0420473553
296;0.0420473553
297;0.0419756025
298;0.0419756025
299;0.0419728495
300;0.0419728495
301;0.0419660211
302;0.0419559777
303;0.0419794992
304;0.0419794992
305;0.0419598483
306;0.0419559777
307;0.0419559777
308;0.0419559777
309;0.0419559777
310;0.0420122072
311;0.0420122072
312;0.0419799723
313;0.0420161560
314;0.0419809185
