Generación;Mejor Fitness
1;0.0461294651
2;0.0461542271
3;0.0461652502
4;0.0462049916
5;0.0462254435
6;0.0462678075
7;0.0462970473
8;0.0463223308
9;0.0463645011
10;0.0463816449
11;0.0464065373
12;0.0464462861
13;0.0465153009
14;0.0465443805
15;0.0465499163
16;0.0465696380
17;0.0465859994
18;0.0466108732
19;0.0466340706
20;0.0466512516
21;0.0466647372
22;0.0466849580
23;0.0467119589
24;0.0467438661
25;0.0467790663
26;0.0468210168
27;0.0469050109
28;0.0469639339
29;0.0469997115
30;0.0470068641
31;0.0470127836
32;0.0470466018
33;0.0470562056
34;0.0470719934
35;0.0470752306
36;0.0470891781
37;0.0471000932
38;0.0472148769
39;0.0472982489
40;0.0473063551
41;0.0473218821
42;0.0473365746
43;0.0473953225
44;0.0474068709
45;0.0474444777
46;0.0474583805
47;0.0474673174
48;0.0474690795
49;0.0474803820
50;0.0474837981
51;0.0474869646
52;0.0474872775
53;0.0475121737
54;0.0475382060
55;0.0475428998
56;0.0475473329
57;0.0475864336
58;0.0475875176
59;0.0475887135
60;0.0476175472
61;0.0476380363
62;0.0476438068
63;0.0476478562
64;0.0476521477
65;0.0476684272
66;0.0476790369
67;0.0477085412
68;0.0477471314
69;0.0477830917
70;0.0477920398
71;0.0478501730
72;0.0478981510
73;0.0479141511
74;0.0479181111
75;0.0479225516
76;0.0479268022
77;0.0479328334
78;0.0479927920
79;0.0479956977
80;0.0480232872
81;0.0480305031
82;0.0480318591
83;0.0480373651
84;0.0480391830
85;0.0480476879
86;0.0480599478
87;0.0480692014
88;0.0480840057
89;0.0481022075
90;0.0481046475
91;0.0481492169
92;0.0481580868
93;0.0481765941
94;0.0481799319
95;0.0481842496
96;0.0481854789
97;0.0481867082
98;0.0481974110
99;0.0481985137
100;0.0482403636
101;0.0482769534
102;0.0482780039
103;0.0483088046
104;0.0483113229
105;0.0483173020
106;0.0483215712
107;0.0483253486
108;0.0483314171
109;0.0483358279
110;0.0484095886
111;0.0484117419
112;0.0484285168
113;0.0484290794
114;0.0484498702
115;0.0484549589
116;0.0484589562
117;0.0485250242
118;0.0485327281
119;0.0485516228
120;0.0485586002
121;0.0485692360
122;0.0485760905
123;0.0485962592
124;0.0486011095
125;0.0486071855
126;0.0486072488
127;0.0486260951
128;0.0486307256
129;0.0486331619
130;0.0486439541
131;0.0486503392
132;0.0486676805
133;0.0486695431
134;0.0486787260
135;0.0486826412
136;0.0487033203
137;0.0487474203
138;0.0487531312
139;0.0487665460
140;0.0487691574
141;0.0487751737
142;0.0487772375
143;0.0487980098
144;0.0488059074
145;0.0488126054
146;0.0488146469
147;0.0488163456
148;0.0488209613
149;0.0488251671
150;0.0488410108
151;0.0488732643
152;0.0488732643
153;0.0488740169
154;0.0488810688
155;0.0489032939
156;0.0489125140
157;0.0489163473
158;0.0489284806
159;0.0490377918
160;0.0490383580
161;0.0490699410
162;0.0490743965
163;0.0490775481
164;0.0490804724
165;0.0490903482
166;0.0490937270
167;0.0490965657
168;0.0490969121
169;0.0490972511
170;0.0491094291
171;0.0491097607
172;0.0491170175
173;0.0491289869
174;0.0491358936
175;0.0491381995
176;0.0491384193
177;0.0491385497
178;0.0491403714
179;0.0491403714
180;0.0491421334
181;0.0491465367
182;0.0491465628
183;0.0491513498
184;0.0491689295
185;0.0491712727
186;0.0492497869
187;0.0492556244
188;0.0492712371
189;0.0492900573
190;0.0492909625
191;0.0492910407
192;0.0492910407
193;0.0493558235
194;0.0493696183
195;0.0494045764
196;0.0494063385
197;0.0494100675
198;0.0494102314
199;0.0494114980
200;0.0494657010
201;0.0494658351
202;0.0494823866
203;0.0494897887
204;0.0494935960
205;0.0494960658
206;0.0495133027
207;0.0495261475
208;0.0495267659
209;0.0495282300
210;0.0495292246
211;0.0495298617
212;0.0495308787
213;0.0495311096
214;0.0495414846
215;0.0495441779
216;0.0495442487
217;0.0495444089
218;0.0495561659
219;0.0495626703
220;0.0495629236
221;0.0495644286
222;0.0495931208
223;0.0495967045
224;0.0496154465
225;0.0496154465
226;0.0496172197
227;0.0496174879
228;0.0496194996
229;0.0496223643
230;0.0496223643
231;0.0496253036
232;0.0496255271
233;0.0496257208
234;0.0496413037
235;0.0496455245
236;0.0496456549
237;0.0496520363
238;0.0496550500
239;0.0496632606
240;0.0496639945
241;0.0496639945
242;0.0496649183
243;0.0496701412
244;0.0496717319
245;0.0496717319
246;0.0496750213
247;0.0496948250
248;0.0496952794
249;0.0496972613
250;0.0496986955
251;0.0496990271
252;0.0496990271
253;0.0497028567
254;0.0497324280
255;0.0497330539
256;0.0497421138
257;0.0497434251
258;0.0497459024
259;0.0497459024
260;0.0497459024
261;0.0497608334
262;0.0497611463
263;0.0497611463
264;0.0497627780
265;0.0499756709
266;0.0499817766
267;0.0500016101
268;0.0500028580
269;0.0500031598
270;0.0500126593
271;0.0500126593
272;0.0500159040
273;0.0500161089
274;0.0500267074
275;0.0500270762
276;0.0500303805
277;0.0500321351
278;0.0500467084
279;0.0500467084
280;0.0500553213
281;0.0500572138
282;0.0500598289
283;0.0500601716
284;0.0500606969
285;0.0500606969
286;0.0500645190
287;0.0500661880
288;0.0500681698
289;0.0500816070
290;0.0500936173
291;0.0500995144
292;0.0501002446
293;0.0501002446
294;0.0501013175
295;0.0501083285
296;0.0501106903
297;0.0501234047
298;0.0501235910
299;0.0501668751
300;0.0501726121
301;0.0501732379
302;0.0501764603
303;0.0501792282
304;0.0501823276
305;0.0501841195
306;0.0501841195
307;0.0501844734
308;0.0501844734
309;0.0501848720
310;0.0501943529
311;0.0502054915
312;0.0502059758
313;0.0502069332
314;0.0502107777
315;0.0502172224
316;0.0502172634
317;0.0502444543
318;0.0502456389
319;0.0502466112
320;0.0502472259
321;0.0502483472
322;0.0502483472
323;0.0502492376
324;0.0502494946
325;0.0502494946
326;0.0502499044
327;0.0502512567
328;0.0502515063
329;0.0502526984
330;0.0502558686
331;0.0502664521
332;0.0502664521
333;0.0502664521
334;0.0502664670
335;0.0502668619
336;0.0502668619
337;0.0502668619
338;0.0502801053
339;0.0502856635
340;0.0502871498
341;0.0502957180
342;0.0502962060
343;0.0503000952
344;0.0503265485
345;0.0503288694
346;0.0503293425
347;0.0503963940
348;0.0503972657
349;0.0503988117
350;0.0503997616
351;0.0503997616
352;0.0504082665
353;0.0504082888
354;0.0504260845
355;0.0504260845
356;0.0504263341
357;0.0504396372
358;0.0504443236
359;0.0504506454
360;0.0504514091
361;0.0504516251
362;0.0504516251
363;0.0504516251
364;0.0504568890
365;0.0504568890
366;0.0504570454
367;0.0504570454
368;0.0504571237
369;0.0504650772
370;0.0504651815
371;0.0504718758
372;0.0504729450
373;0.0504781120
374;0.0504781120
375;0.0504781120
376;0.0504781120
377;0.0504781120
378;0.0504781120
379;0.0504802875
380;0.0504807867
381;0.0504812039
382;0.0504812039
383;0.0504812039
384;0.0504820123
385;0.0504847132
386;0.0504885316
387;0.0504901856
388;0.0504901856
389;0.0504913218
390;0.0505000874
391;0.0505000874
392;0.0505036414
393;0.0505068153
394;0.0505068153
395;0.0505068153
396;0.0505078249
397;0.0505136214
398;0.0505136214
399;0.0505268201
400;0.0505268425
401;0.0505268425
402;0.0505271070
403;0.0505287163
